                                                                                1     6     7     8    11    12    15    16    17    19    20    26    53
      Tissues to be used in the Monte Carlo simulation:                         H     C     N     O    Na    Mg     P     S    Cl     K    Ca    Fe     I     density
No.                                                                                                            (% by mass)                                    (g/cm3)
1     Adrenal                                                                 10.4  22.8   2.8  63.0   0.1   0.0   0.2   0.3   0.2   0.2   0.0   0.0   0.0     1.036 
2     ET, Trachea, BB, bb, Gall bladder wall, Pituitary gland, ...            10.5  25.1   2.7  60.7   0.1   0.0   0.2   0.3   0.2   0.2   0.0   0.0   0.0     1.031 
3     Oral mucosa, Tongue                                                     10.2  14.2   3.4  71.1   0.1   0.0   0.2   0.3   0.1   0.4   0.0   0.0   0.0     1.050 
4     Blood                                                                   10.2  11.0   3.3  74.5   0.1   0.0   0.1   0.2   0.3   0.2   0.0   0.1   0.0     1.060 
5     Cortical bone                                                            3.6  15.9   4.2  44.8   0.3   0.2   9.4   0.3   0.0   0.0  21.3   0.0   0.0     1.904 
6     Medullary cavity                                                        11.5  63.6   0.7  23.9   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0     0.981 
7     Humeri, upper, spongiosa                                                 8.1  35.4   2.8  41.0   0.2   0.1   3.7   0.2   0.1   0.1   8.3   0.0   0.0     1.233 
8     Humeri, lower, Ulnae and radii, Wrists and hand bones, Femora, ...       9.6  50.4   1.7  30.8   0.1   0.0   2.2   0.2   0.1   0.0   4.9   0.0   0.0     1.109 
9     Clavicles, spongiosa                                                     8.9  40.9   2.5  38.5   0.1   0.0   2.7   0.2   0.1   0.1   6.0   0.0   0.0     1.157 
10    Cranium, spongiosa                                                       8.8  39.5   2.6  39.5   0.1   0.1   2.8   0.2   0.1   0.1   6.2   0.0   0.0     1.165 
11    Femora, upper, spongiosa                                                 9.3  44.1   2.3  36.5   0.1   0.1   2.2   0.2   0.1   0.1   5.0   0.0   0.0     1.125 
12    Mandible, spongiosa                                                      7.7  33.2   3.0  42.0   0.2   0.1   4.1   0.2   0.1   0.1   9.3   0.0   0.0     1.271 
13    Pelvis, spongiosa                                                        9.4  40.9   2.6  40.0   0.1   0.1   2.0   0.2   0.1   0.1   4.5   0.0   0.0     1.121 
14    Ribs, spongiosa                                                          8.8  34.6   3.1  44.4   0.1   0.1   2.6   0.2   0.1   0.1   5.8   0.1   0.0     1.170 
15    Scapulae, spongiosa                                                      8.4  37.3   2.7  40.4   0.1   0.1   3.3   0.2   0.1   0.1   7.3   0.0   0.0     1.201 
16    Cervical spine, spongiosa                                               10.3  41.6   2.8  42.8   0.1   0.0   0.6   0.2   0.2   0.1   1.2   0.1   0.0     1.049 
17    Thoracic spine, spongiosa                                               10.0  40.3   2.8  43.1   0.1   0.0   1.0   0.2   0.2   0.1   2.1   0.1   0.0     1.070 
18    Lumbar spine, spongiosa                                                  9.5  38.0   3.0  43.6   0.1   0.0   1.6   0.2   0.2   0.1   3.6   0.1   0.0     1.108 
19    Sacrum, spongiosa                                                       10.5  42.6   2.7  42.6   0.1   0.0   0.3   0.2   0.2   0.1   0.6   0.1   0.0     1.033 
20    Sternum, spongiosa                                                      10.4  42.1   2.8  42.7   0.0   0.0   0.5   0.2   0.2   0.1   0.9   0.1   0.0     1.041 
21    Cartilage                                                                9.6   9.9   2.2  74.4   0.5   0.0   2.2   0.9   0.3   0.0   0.0   0.0   0.0     1.099 
22    Brain                                                                   10.7  14.3   2.3  71.3   0.2   0.0   0.4   0.2   0.3   0.3   0.0   0.0   0.0     1.041 
23    Breast, adipose tissue                                                  11.4  58.1   0.8  29.4   0.1   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0     0.953 
24    Breast, glandular tissue                                                10.6  32.4   3.0  53.5   0.1   0.0   0.1   0.2   0.1   0.0   0.0   0.0   0.0     1.021 
25    Eye lens                                                                 9.6  19.5   5.7  64.6   0.1   0.0   0.1   0.3   0.1   0.0   0.0   0.0   0.0     1.060 
26    Cornea                                                                  10.1  12.5   3.7  73.2   0.1   0.0   0.1   0.2   0.1   0.0   0.0   0.0   0.0     1.100 
27    Aqueous                                                                 11.2   0.4   0.1  88.3   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0     1.025 
28    Vitreous                                                                11.2   0.4   0.1  88.3   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0     1.031 
29    Gall bladder contents                                                   10.5  25.6   2.7  60.2   0.1   0.0   0.2   0.3   0.2   0.2   0.0   0.0   0.0     1.030 
30    Stomach wall                                                            10.5  11.4   2.5  75.0   0.1   0.0   0.1   0.1   0.2   0.1   0.0   0.0   0.0     1.037 
31    Small intestine wall                                                    10.5  11.4   2.5  75.0   0.1   0.0   0.1   0.1   0.2   0.1   0.0   0.0   0.0     1.037 
32    Colon wall                                                              10.5  11.4   2.5  75.0   0.1   0.0   0.1   0.1   0.2   0.1   0.0   0.0   0.0     1.037 
33    GI contents                                                             10.0  22.2   2.2  64.4   0.1   0.0   0.2   0.3   0.1   0.4   0.1   0.0   0.0     1.040 
34    Heart wall                                                              10.4  13.5   2.9  72.2   0.1   0.0   0.2   0.2   0.2   0.3   0.0   0.0   0.0     1.051 
35    Kidney                                                                  10.3  12.6   3.1  72.9   0.2   0.0   0.2   0.2   0.2   0.2   0.1   0.0   0.0     1.053 
36    Liver                                                                   10.2  13.2   3.1  72.3   0.2   0.0   0.2   0.3   0.2   0.3   0.0   0.0   0.0     1.060 
37    Lung                                                                    10.2  10.8   3.2  74.8   0.1   0.0   0.1   0.2   0.3   0.2   0.0   0.1   0.0     0.415 
38    Lymphatic nodes                                                         10.8   4.5   1.2  82.7   0.3   0.0   0.0   0.1   0.4   0.0   0.0   0.0   0.0     1.032 
39    Muscle                                                                  10.2  14.2   3.4  71.1   0.1   0.0   0.2   0.3   0.1   0.4   0.0   0.0   0.0     1.050 
40    Oesophagus                                                              10.4  22.3   2.8  63.5   0.1   0.0   0.2   0.3   0.2   0.2   0.0   0.0   0.0     1.037 
41    Gonads                                                                  10.6   9.9   2.1  76.5   0.2   0.0   0.1   0.2   0.2   0.2   0.0   0.0   0.0     1.041 
42    Pancreas                                                                10.5  15.8   2.4  70.4   0.2   0.0   0.2   0.1   0.2   0.2   0.0   0.0   0.0     1.044 
43    Prostate                                                                10.5  25.1   2.7  60.7   0.1   0.0   0.2   0.3   0.2   0.2   0.0   0.0   0.0     1.031 
44    RST                                                                     11.2  51.7   1.1  35.5   0.1   0.0   0.1   0.2   0.1   0.0   0.0   0.0   0.0     0.939 
45    Skin                                                                    10.0  19.9   4.2  65.0   0.2   0.0   0.1   0.2   0.3   0.1   0.0   0.0   0.0     1.089 
46    Spleen                                                                  10.3  11.2   3.2  74.3   0.1   0.0   0.2   0.2   0.2   0.3   0.0   0.0   0.0     1.060 
47    Teeth                                                                    2.3   9.5   2.9  42.6   0.0   0.7  13.5   0.0   0.0   0.0  28.5   0.0   0.0     2.688 
48    Thyroid                                                                 10.4  11.8   2.5  74.5   0.2   0.0   0.1   0.1   0.2   0.1   0.0   0.0   0.1     1.051 
49    Urinary bladder wall                                                    10.5   9.6   2.6  76.1   0.2   0.0   0.2   0.2   0.3   0.3   0.0   0.0   0.0     1.040 
50    Urine                                                                   10.7   0.3   1.0  87.3   0.4   0.0   0.1   0.0   0.0   0.2   0.0   0.0   0.0     1.040 
51    Air inside body                                                          0.0   0.0  80.0  20.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0     0.001 
52    Water                                                                   11.2   0.0   0.0  88.8   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0     1.000 
