# E_MeV_per_n    Probability
1.033441e+00 4.715110e-04
1.103716e+00 5.035806e-04
1.178769e+00 5.369157e-04
1.258925e+00 5.730050e-04
1.344533e+00 6.184052e-04
1.435962e+00 6.814200e-04
1.533608e+00 7.277485e-04
1.637894e+00 9.018381e-04
1.749271e+00 9.971551e-04
1.868222e+00 1.099313e-03
1.995262e+00 1.242590e-03
2.130941e+00 1.327090e-03
2.275846e+00 1.485518e-03
2.430604e+00 1.595102e-03
2.595887e+00 1.755520e-03
2.772408e+00 1.942745e-03
2.960933e+00 2.074864e-03
3.162278e+00 2.212879e-03
3.377314e+00 2.363326e-03
3.606973e+00 2.650976e-03
3.852248e+00 2.942106e-03
4.114203e+00 3.169897e-03
4.393971e+00 3.667887e-03
4.692762e+00 3.917285e-03
5.011872e+00 4.306697e-03
5.352682e+00 4.670324e-03
5.716667e+00 4.919980e-03
6.105402e+00 4.959951e-03
6.520572e+00 5.297240e-03
6.963974e+00 5.615547e-03
7.437527e+00 5.982391e-03
7.943282e+00 6.409738e-03
8.483429e+00 6.896871e-03
9.060306e+00 7.365855e-03
9.676411e+00 7.394211e-03
1.033441e+01 7.806045e-03
1.103716e+01 8.415915e-03
1.178769e+01 9.114049e-03
1.258925e+01 9.733771e-03
1.344533e+01 1.021292e-02
1.435962e+01 1.089619e-02
1.533608e+01 1.133622e-02
1.637894e+01 1.178822e-02
1.749271e+01 1.261226e-02
1.868222e+01 1.397908e-02
1.995262e+01 1.492964e-02
2.130941e+01 1.536898e-02
2.275846e+01 1.600709e-02
2.430604e+01 1.696341e-02
2.595887e+01 1.730615e-02
2.772408e+01 1.848286e-02
2.960933e+01 1.935112e-02
3.162278e+01 2.049005e-02
3.377314e+01 2.146651e-02
3.606973e+01 2.159438e-02
3.852248e+01 2.306280e-02
4.114203e+01 2.299392e-02
4.393971e+01 2.412028e-02
4.692762e+01 2.461462e-02
5.011872e+01 2.403803e-02
5.352682e+01 2.567253e-02
5.716667e+01 2.581589e-02
6.105402e+01 2.737693e-02
6.520572e+01 2.683361e-02
6.963974e+01 2.555970e-02
7.437527e+01 2.729772e-02
7.943282e+01 2.412521e-02
8.483429e+01 2.574109e-02
9.060306e+01 2.450981e-02
9.676411e+01 2.360869e-02
1.033441e+02 2.444662e-02
1.103716e+02 1.860831e-02
1.178769e+02 1.987355e-02
1.258925e+02 1.795260e-02
1.344533e+02 1.731870e-02
1.435962e+02 1.749516e-02
1.533608e+02 1.443813e-02
1.637894e+02 1.542008e-02
1.749271e+02 1.189278e-02
1.868222e+02 1.109277e-02
1.995262e+02 1.073861e-02
2.130941e+02 8.748341e-03
2.275846e+02 9.343248e-03
2.430604e+02 6.215980e-03
2.595887e+02 5.933666e-03
2.772408e+02 5.067598e-03
2.960933e+02 3.416611e-03
3.162278e+02 3.648933e-03
3.377314e+02 2.185832e-03
3.606973e+02 2.235200e-03
3.852248e+02 1.728012e-03
4.114203e+02 1.156103e-03
4.393971e+02 1.200818e-03
4.692762e+02 5.748161e-04
5.011872e+02 6.139068e-04
5.352682e+02 4.559205e-04
5.716667e+02 3.478053e-04
6.105402e+02 3.409758e-04
6.520572e+02 1.821326e-04
6.963974e+02 1.945177e-04
7.437527e+02 1.478842e-04
7.943282e+02 1.311397e-04
8.483429e+02 1.098874e-04
9.060306e+02 2.275068e-05
9.676411e+02 2.429775e-05
1.033441e+03 5.071941e-05
1.103716e+03 6.064577e-05
1.178769e+03 4.602415e-05
1.258925e+03 1.289438e-05
1.344533e+03 1.377121e-05
1.435962e+03 4.106757e-06
1.533608e+03 3.147283e-06
1.637894e+03 1.826134e-06
