# E_MeV_per_n    Probability
1.033441e+00 4.049107e-04
1.103716e+00 4.171408e-04
1.178769e+00 4.447458e-04
1.258925e+00 5.106937e-04
1.344533e+00 5.816683e-04
1.435962e+00 6.149791e-04
1.533608e+00 5.450383e-04
1.637894e+00 5.821066e-04
1.749271e+00 5.877871e-04
1.868222e+00 6.048674e-04
1.995262e+00 6.525398e-04
2.130941e+00 7.337796e-04
2.275846e+00 7.836782e-04
2.430604e+00 9.247836e-04
2.595887e+00 1.025622e-03
2.772408e+00 1.114083e-03
2.960933e+00 1.246287e-03
3.162278e+00 1.331031e-03
3.377314e+00 1.493490e-03
3.606973e+00 1.613002e-03
3.852248e+00 1.875250e-03
4.114203e+00 2.288385e-03
4.393971e+00 2.444007e-03
4.692762e+00 1.977394e-03
5.011872e+00 2.043917e-03
5.352682e+00 2.122585e-03
5.716667e+00 2.192579e-03
6.105402e+00 2.340923e-03
6.520572e+00 2.376332e-03
6.963974e+00 2.537924e-03
7.437527e+00 2.869418e-03
7.943282e+00 3.195486e-03
8.483429e+00 3.361861e-03
9.060306e+00 3.149161e-03
9.676411e+00 3.363307e-03
1.033441e+01 3.281664e-03
1.103716e+01 3.337242e-03
1.178769e+01 3.505447e-03
1.258925e+01 3.511226e-03
1.344533e+01 3.749993e-03
1.435962e+01 4.197133e-03
1.533608e+01 4.546181e-03
1.637894e+01 4.574307e-03
1.749271e+01 4.230403e-03
1.868222e+01 4.518073e-03
1.995262e+01 4.408818e-03
2.130941e+01 4.637070e-03
2.275846e+01 4.798749e-03
2.430604e+01 4.894239e-03
2.595887e+01 5.227095e-03
2.772408e+01 4.927269e-03
2.960933e+01 5.232504e-03
3.162278e+01 5.069693e-03
3.377314e+01 4.895242e-03
3.606973e+01 5.193097e-03
3.852248e+01 4.959443e-03
4.114203e+01 5.296675e-03
4.393971e+01 5.546087e-03
4.692762e+01 5.849471e-03
5.011872e+01 6.110676e-03
5.352682e+01 5.776494e-03
5.716667e+01 6.169312e-03
6.105402e+01 5.793112e-03
6.520572e+01 5.848993e-03
6.963974e+01 6.152618e-03
7.437527e+01 6.292447e-03
7.943282e+01 6.720340e-03
8.483429e+01 6.321082e-03
9.060306e+01 6.542003e-03
9.676411e+01 6.595655e-03
1.033441e+02 6.322720e-03
1.103716e+02 6.752758e-03
1.178769e+02 6.769938e-03
1.258925e+02 7.184736e-03
1.344533e+02 7.422761e-03
1.435962e+02 7.623038e-03
1.533608e+02 8.136921e-03
1.637894e+02 8.225902e-03
1.749271e+02 8.785215e-03
1.868222e+02 9.067078e-03
1.995262e+02 9.427273e-03
2.130941e+02 1.000414e-02
2.275846e+02 1.014760e-02
