# E_MeV_per_n    Probability
1.033441e+00 7.563868e-05
1.103716e+00 8.452117e-05
1.178769e+00 9.544131e-05
1.258925e+00 1.019310e-04
1.344533e+00 1.028704e-04
1.435962e+00 1.097254e-04
1.533608e+00 1.113913e-04
1.637894e+00 1.136109e-04
1.749271e+00 1.206074e-04
1.868222e+00 1.199115e-04
1.995262e+00 1.280653e-04
2.130941e+00 1.308923e-04
2.275846e+00 1.361958e-04
2.430604e+00 1.375414e-04
2.595887e+00 1.092131e-04
2.772408e+00 1.166389e-04
2.960933e+00 1.248904e-04
3.162278e+00 1.335056e-04
3.377314e+00 1.488875e-04
3.606973e+00 1.758725e-04
3.852248e+00 1.878318e-04
4.114203e+00 1.680058e-04
4.393971e+00 1.724775e-04
4.692762e+00 1.725004e-04
5.011872e+00 1.644162e-04
5.352682e+00 1.755959e-04
5.716667e+00 1.581528e-04
6.105402e+00 1.665949e-04
6.520572e+00 1.646373e-04
6.963974e+00 1.609226e-04
7.437527e+00 1.713318e-04
7.943282e+00 1.649044e-04
8.483429e+00 1.761181e-04
9.060306e+00 1.637310e-04
9.676411e+00 1.566150e-04
1.033441e+01 1.661220e-04
1.103716e+01 1.695186e-04
1.178769e+01 1.810447e-04
1.258925e+01 1.910595e-04
1.344533e+01 2.029360e-04
1.435962e+01 2.130142e-04
1.533608e+01 2.146323e-04
1.637894e+01 2.292295e-04
1.749271e+01 2.293247e-04
1.868222e+01 2.404160e-04
1.995262e+01 2.632995e-04
2.130941e+01 2.948798e-04
2.275846e+01 3.149323e-04
2.430604e+01 3.643678e-04
2.595887e+01 3.930670e-04
2.772408e+01 4.148238e-04
2.960933e+01 4.362538e-04
3.162278e+01 4.659181e-04
3.377314e+01 5.454603e-04
3.606973e+01 5.835031e-04
3.852248e+01 6.389201e-04
4.114203e+01 6.967129e-04
4.393971e+01 7.504784e-04
4.692762e+01 8.758872e-04
5.011872e+01 9.354525e-04
5.352682e+01 1.080412e-03
5.716667e+01 1.202904e-03
6.105402e+01 1.308124e-03
6.520572e+01 1.506011e-03
6.963974e+01 1.608420e-03
7.437527e+01 1.866841e-03
7.943282e+01 2.050174e-03
8.483429e+01 2.251070e-03
9.060306e+01 2.565775e-03
9.676411e+01 2.740250e-03
1.033441e+02 3.177789e-03
1.103716e+02 3.446205e-03
1.178769e+02 3.809143e-03
1.258925e+02 4.282706e-03
1.344533e+02 4.573935e-03
1.435962e+02 5.319504e-03
1.533608e+02 5.713553e-03
1.637894e+02 6.285320e-03
1.749271e+02 6.915410e-03
1.868222e+02 7.401972e-03
1.995262e+02 8.398322e-03
2.130941e+02 8.969435e-03
2.275846e+02 9.783542e-03
2.430604e+02 1.059951e-02
2.595887e+02 1.134348e-02
2.772408e+02 1.226984e-02
2.960933e+02 1.310427e-02
3.162278e+02 1.391670e-02
3.377314e+02 1.482541e-02
3.606973e+02 1.569984e-02
3.852248e+02 1.631433e-02
