# E_MeV_per_n    Probability
1.033441e+00 1.445248e-02
1.103716e+00 1.532865e-02
1.178769e+00 1.622308e-02
1.258925e+00 1.732619e-02
1.344533e+00 1.818282e-02
1.435962e+00 1.941187e-02
1.533608e+00 2.072039e-02
1.637894e+00 2.211919e-02
1.749271e+00 2.334284e-02
1.868222e+00 2.150623e-02
1.995262e+00 2.296862e-02
2.130941e+00 1.959024e-02
2.275846e+00 1.790077e-02
2.430604e+00 2.055344e-02
2.595887e+00 2.878593e-02
2.772408e+00 3.074319e-02
2.960933e+00 2.031792e-02
3.162278e+00 1.688040e-02
3.377314e+00 1.778674e-02
3.606973e+00 1.835035e-02
3.852248e+00 1.959817e-02
4.114203e+00 2.288358e-02
4.393971e+00 2.485634e-02
4.692762e+00 2.369121e-02
5.011872e+00 2.046863e-02
5.352682e+00 2.186043e-02
5.716667e+00 1.609088e-02
6.105402e+00 1.661409e-02
6.520572e+00 1.812245e-02
6.963974e+00 1.977962e-02
7.437527e+00 2.083536e-02
7.943282e+00 1.244660e-02
8.483429e+00 1.329298e-02
9.060306e+00 1.421379e-02
9.676411e+00 1.519300e-02
1.033441e+01 1.548102e-02
1.103716e+01 1.137758e-02
1.178769e+01 1.215118e-02
1.258925e+01 1.388035e-02
1.344533e+01 1.526310e-02
1.435962e+01 1.498531e-02
1.533608e+01 1.145835e-02
1.637894e+01 1.223764e-02
1.749271e+01 1.172329e-02
1.868222e+01 1.212910e-02
1.995262e+01 1.235676e-02
2.130941e+01 1.194770e-02
2.275846e+01 1.276017e-02
2.430604e+01 1.057346e-02
2.595887e+01 1.086545e-02
2.772408e+01 1.037588e-02
2.960933e+01 9.405444e-03
3.162278e+01 1.004499e-02
3.377314e+01 1.188900e-02
3.606973e+01 1.272053e-02
3.852248e+01 9.930227e-03
4.114203e+01 7.273413e-03
4.393971e+01 7.515431e-03
4.692762e+01 5.083927e-03
5.011872e+01 5.429662e-03
5.352682e+01 3.830445e-03
5.716667e+01 2.904809e-03
6.105402e+01 3.032853e-03
6.520572e+01 2.916011e-03
6.963974e+01 3.114301e-03
7.437527e+01 2.832857e-03
7.943282e+01 2.838913e-03
8.483429e+01 2.658569e-03
9.060306e+01 1.857715e-03
9.676411e+01 1.984041e-03
1.033441e+02 1.039932e-03
1.103716e+02 8.861153e-04
1.178769e+02 1.338276e-03
1.258925e+02 2.083037e-03
1.344533e+02 2.224686e-03
1.435962e+02 5.659704e-04
1.533608e+02 4.695343e-04
1.637894e+02 4.301441e-04
1.749271e+02 3.804589e-04
1.868222e+02 3.977971e-04
1.995262e+02 1.669072e-04
2.130941e+02 1.782575e-04
2.275846e+02 1.830608e-04
2.430604e+02 1.901033e-04
2.595887e+02 1.761477e-04
2.772408e+02 7.636144e-06
2.960933e+02 8.155450e-06
3.162278e+02 3.528661e-06
3.377314e+02 1.290213e-06
3.606973e+02 1.047678e-06
