# E_MeV_per_n    Probability
1.033441e+00 2.775414e-06
1.103716e+00 7.198665e-06
1.178769e+00 7.688124e-06
1.258925e+00 1.018037e-05
1.344533e+00 1.097074e-05
1.435962e+00 1.099113e-05
1.533608e+00 1.100082e-05
1.637894e+00 1.180906e-05
1.749271e+00 1.369227e-05
1.868222e+00 1.462335e-05
1.995262e+00 1.823377e-05
2.130941e+00 2.124224e-05
2.275846e+00 2.315141e-05
2.430604e+00 2.734962e-05
2.595887e+00 2.920967e-05
2.772408e+00 3.250315e-05
2.960933e+00 3.527924e-05
3.162278e+00 3.800108e-05
3.377314e+00 4.155993e-05
3.606973e+00 4.438611e-05
3.852248e+00 5.247241e-05
4.114203e+00 5.730719e-05
4.393971e+00 6.208585e-05
4.692762e+00 6.795966e-05
5.011872e+00 7.258131e-05
5.352682e+00 8.711287e-05
5.716667e+00 9.407076e-05
6.105402e+00 1.022541e-04
6.520572e+00 1.114128e-04
6.963974e+00 1.190580e-04
7.437527e+00 1.391306e-04
7.943282e+00 1.485917e-04
8.483429e+00 1.704240e-04
9.060306e+00 1.916875e-04
9.676411e+00 2.056422e-04
1.033441e+01 2.276198e-04
1.103716e+01 2.431012e-04
1.178769e+01 2.776554e-04
1.258925e+01 3.062834e-04
1.344533e+01 3.330049e-04
1.435962e+01 3.790446e-04
1.533608e+01 4.048152e-04
1.637894e+01 4.521733e-04
1.749271e+01 4.895025e-04
1.868222e+01 5.389825e-04
1.995262e+01 6.134171e-04
2.130941e+01 6.551314e-04
2.275846e+01 7.462863e-04
2.430604e+01 8.050548e-04
2.595887e+01 8.874364e-04
2.772408e+01 9.893276e-04
2.960933e+01 1.056608e-03
3.162278e+01 1.216840e-03
3.377314e+01 1.303637e-03
3.606973e+01 1.430104e-03
3.852248e+01 1.565252e-03
4.114203e+01 1.679993e-03
4.393971e+01 1.934140e-03
4.692762e+01 2.065652e-03
5.011872e+01 2.289700e-03
5.352682e+01 2.501070e-03
5.716667e+01 2.691103e-03
6.105402e+01 2.983844e-03
6.520572e+01 3.186753e-03
6.963974e+01 3.536404e-03
7.437527e+01 3.833440e-03
7.943282e+01 4.124309e-03
8.483429e+01 4.494257e-03
9.060306e+01 4.799864e-03
9.676411e+01 5.283210e-03
1.033441e+02 5.680797e-03
1.103716e+02 6.086876e-03
1.178769e+02 6.537117e-03
1.258925e+02 6.981617e-03
1.344533e+02 7.455928e-03
1.435962e+02 7.962970e-03
1.533608e+02 8.467100e-03
1.637894e+02 8.997605e-03
1.749271e+02 9.606564e-03
1.868222e+02 9.952162e-03
1.995262e+02 1.062890e-02
2.130941e+02 1.100676e-02
2.275846e+02 1.147468e-02
2.430604e+02 1.215559e-02
2.595887e+02 1.214985e-02
2.772408e+02 1.297596e-02
2.960933e+02 1.307960e-02
3.162278e+02 1.355423e-02
3.377314e+02 1.418736e-02
3.606973e+02 1.403085e-02
3.852248e+02 1.498495e-02
4.114203e+02 1.483430e-02
4.393971e+02 1.546202e-02
4.692762e+02 1.602266e-02
5.011872e+02 1.598583e-02
5.352682e+02 1.707281e-02
5.716667e+02 1.665828e-02
6.105402e+02 1.752735e-02
6.520572e+02 1.791121e-02
6.963974e+02 1.793139e-02
7.437527e+02 1.915070e-02
7.943282e+02 1.814656e-02
8.483429e+02 1.928374e-02
9.060306e+02 1.924960e-02
9.676411e+02 1.922876e-02
1.033441e+03 2.034674e-02
1.103716e+03 1.873262e-02
1.178769e+03 2.000631e-02
1.258925e+03 1.916874e-02
1.344533e+03 1.902908e-02
1.435962e+03 1.972215e-02
1.533608e+03 1.784101e-02
1.637894e+03 1.905439e-02
1.749271e+03 1.743857e-02
1.868222e+03 1.740649e-02
1.995262e+03 1.755055e-02
2.130941e+03 1.571776e-02
2.275846e+03 1.678661e-02
2.430604e+03 1.460622e-02
2.595887e+03 1.480581e-02
2.772408e+03 1.440739e-02
2.960933e+03 1.283175e-02
3.162278e+03 1.370428e-02
3.377314e+03 1.126437e-02
3.606973e+03 1.169641e-02
3.852248e+03 1.093372e-02
4.114203e+03 9.807449e-03
4.393971e+03 1.043655e-02
4.692762e+03 8.146177e-03
5.011872e+03 8.700163e-03
5.352682e+03 7.794388e-03
5.716667e+03 7.123588e-03
6.105402e+03 7.346608e-03
6.520572e+03 5.730393e-03
6.963974e+03 6.120065e-03
7.437527e+03 5.203832e-03
7.943282e+03 4.859086e-03
8.483429e+03 4.839109e-03
9.060306e+03 3.834609e-03
9.676411e+03 4.095367e-03
1.033441e+04 3.322469e-03
1.103716e+04 3.212378e-03
1.178769e+04 3.086810e-03
1.258925e+04 2.519699e-03
1.344533e+04 2.691041e-03
1.435962e+04 2.069995e-03
1.533608e+04 2.080051e-03
1.637894e+04 1.925374e-03
1.749271e+04 1.623556e-03
1.868222e+04 1.733959e-03
1.995262e+04 1.270663e-03
2.130941e+04 1.334928e-03
2.275846e+04 1.169796e-03
2.430604e+04 9.998889e-04
2.595887e+04 1.044231e-03
2.772408e+04 7.622386e-04
2.960933e+04 8.140757e-04
3.162278e+04 6.794478e-04
3.377314e+04 6.027255e-04
3.606973e+04 6.070406e-04
3.852248e+04 4.567001e-04
4.114203e+04 4.877548e-04
4.393971e+04 3.883688e-04
4.692762e+04 3.602599e-04
5.011872e+04 3.490223e-04
5.352682e+04 2.705647e-04
5.716667e+04 2.889638e-04
6.105402e+04 2.179768e-04
6.520572e+04 2.116332e-04
6.963974e+04 1.956419e-04
7.437527e+04 1.545136e-04
7.943282e+04 1.650207e-04
8.483429e+04 1.215188e-04
9.060306e+04 1.245972e-04
9.676411e+04 1.105609e-04
1.033441e+05 9.144126e-05
1.103716e+05 9.701039e-05
1.178769e+05 6.319515e-05
1.258925e+05 6.749219e-05
1.344533e+05 5.762200e-05
1.435962e+05 5.010744e-05
1.533608e+05 5.150184e-05
1.637894e+05 3.926126e-05
1.749271e+05 4.193079e-05
1.868222e+05 2.511279e-05
1.995262e+05 1.666722e-05
2.130941e+05 1.392722e-05
2.275846e+05 4.334579e-07
2.430604e+05 4.629299e-07
2.595887e+05 2.349652e-07
2.772408e+05 1.696013e-07
2.960933e+05 1.294438e-07
3.162278e+05 2.335295e-08
3.377314e+05 2.494092e-08
3.606973e+05 1.606947e-08
3.852248e+05 1.549545e-08
4.114203e+05 1.273309e-08
4.393971e+05 8.102173e-09
4.692762e+05 8.653080e-09
5.011872e+05 2.866116e-09
5.352682e+05 2.842681e-09
5.716667e+05 1.609022e-09
6.105402e+05 3.467538e-10
6.520572e+05 3.603361e-10
