# E_MeV_per_n    Probability
1.033441e+00 3.632676e-05
1.103716e+00 9.422165e-05
1.178769e+00 1.006281e-04
1.258925e+00 1.259583e-04
1.344533e+00 1.354444e-04
1.435962e+00 1.510874e-04
1.533608e+00 1.678955e-04
1.637894e+00 1.789510e-04
1.749271e+00 1.845866e-04
1.868222e+00 1.971386e-04
1.995262e+00 2.326575e-04
2.130941e+00 2.634283e-04
2.275846e+00 2.821951e-04
2.430604e+00 3.061999e-04
2.595887e+00 3.270244e-04
2.772408e+00 3.934068e-04
2.960933e+00 4.392616e-04
3.162278e+00 4.684106e-04
3.377314e+00 4.980887e-04
3.606973e+00 5.319600e-04
3.852248e+00 6.115539e-04
4.114203e+00 6.639912e-04
4.393971e+00 6.884980e-04
4.692762e+00 6.966076e-04
5.011872e+00 7.439809e-04
5.352682e+00 8.745067e-04
5.716667e+00 9.425885e-04
6.105402e+00 1.035652e-03
6.520572e+00 1.141832e-03
6.963974e+00 1.219390e-03
7.437527e+00 1.287071e-03
7.943282e+00 1.374593e-03
8.483429e+00 1.529044e-03
9.060306e+00 1.683319e-03
9.676411e+00 1.811998e-03
1.033441e+01 2.058736e-03
1.103716e+01 2.198760e-03
1.178769e+01 2.358409e-03
1.258925e+01 2.524261e-03
1.344533e+01 2.728444e-03
1.435962e+01 3.043114e-03
1.533608e+01 3.250010e-03
1.637894e+01 3.554477e-03
1.749271e+01 3.823867e-03
1.868222e+01 4.122255e-03
1.995262e+01 4.492080e-03
2.130941e+01 4.797556e-03
2.275846e+01 5.188103e-03
2.430604e+01 5.551932e-03
2.595887e+01 6.105336e-03
2.772408e+01 6.784860e-03
2.960933e+01 7.246274e-03
3.162278e+01 7.887552e-03
3.377314e+01 8.430709e-03
3.606973e+01 9.175574e-03
3.852248e+01 9.971456e-03
4.114203e+01 1.063763e-02
4.393971e+01 1.116122e-02
4.692762e+01 1.192013e-02
5.011872e+01 1.292905e-02
5.352682e+01 1.394029e-02
5.716667e+01 1.483529e-02
6.105402e+01 1.555260e-02
6.520572e+01 1.661022e-02
6.963974e+01 1.741960e-02
7.437527e+01 1.846791e-02
7.943282e+01 1.948295e-02
8.483429e+01 2.009401e-02
9.060306e+01 2.146040e-02
9.676411e+01 2.200774e-02
1.033441e+02 2.328121e-02
1.103716e+02 2.408059e-02
1.178769e+02 2.427029e-02
1.258925e+02 2.592058e-02
1.344533e+02 2.507374e-02
1.435962e+02 2.650929e-02
1.533608e+02 2.637191e-02
1.637894e+02 2.580491e-02
1.749271e+02 2.751763e-02
1.868222e+02 2.482910e-02
1.995262e+02 2.651744e-02
2.130941e+02 2.484186e-02
2.275846e+02 2.370151e-02
2.430604e+02 2.470763e-02
2.595887e+02 2.131189e-02
2.772408e+02 2.276096e-02
2.960933e+02 1.997395e-02
3.162278e+02 1.902362e-02
3.377314e+02 1.912849e-02
3.606973e+02 1.581001e-02
3.852248e+02 1.688508e-02
4.114203e+02 1.423201e-02
4.393971e+02 1.396125e-02
4.692762e+02 1.340361e-02
5.011872e+02 1.085571e-02
5.352682e+02 1.159386e-02
5.716667e+02 9.196039e-03
6.105402e+02 9.288129e-03
6.520572e+02 8.701347e-03
6.963974e+02 7.486950e-03
7.437527e+02 7.996052e-03
7.943282e+02 5.694818e-03
8.483429e+02 5.962655e-03
9.060306e+02 5.289222e-03
9.676411e+02 4.582515e-03
1.033441e+03 4.778821e-03
1.103716e+03 3.279724e-03
1.178769e+03 3.502722e-03
1.258925e+03 2.997408e-03
1.344533e+03 2.713066e-03
1.435962e+03 2.660211e-03
1.533608e+03 1.568760e-03
1.637894e+03 1.675452e-03
1.749271e+03 1.200066e-03
1.868222e+03 1.035150e-03
1.995262e+03 9.867494e-04
2.130941e+03 7.080415e-04
2.275846e+03 7.561899e-04
2.430604e+03 4.837162e-04
2.595887e+03 4.392176e-04
2.772408e+03 3.764596e-04
2.960933e+03 2.336134e-04
3.162278e+03 2.494986e-04
3.377314e+03 1.327273e-04
3.606973e+03 1.285067e-04
3.852248e+03 9.452842e-05
4.114203e+03 4.969370e-05
4.393971e+03 5.264626e-05
4.692762e+03 2.239698e-05
5.011872e+03 2.392010e-05
5.352682e+03 1.208591e-05
5.716667e+03 2.112675e-06
6.105402e+03 2.577552e-06
6.520572e+03 5.353114e-06
6.963974e+03 5.717130e-06
7.437527e+03 7.623959e-06
7.943282e+03 8.938367e-06
8.483429e+03 7.511357e-06
9.060306e+03 2.779680e-07
9.676411e+03 2.968701e-07
1.033441e+04 7.303418e-08
