# E_MeV_per_n    Probability
1.033441e+00 8.070656e-04
1.103716e+00 2.093308e-03
1.178769e+00 2.235638e-03
1.258925e+00 2.296398e-03
1.344533e+00 2.448010e-03
1.435962e+00 2.574471e-03
1.533608e+00 2.708821e-03
1.637894e+00 2.891436e-03
1.749271e+00 3.059029e-03
1.868222e+00 3.267044e-03
1.995262e+00 3.347619e-03
2.130941e+00 3.479558e-03
2.275846e+00 3.668566e-03
2.430604e+00 3.649123e-03
2.595887e+00 3.897298e-03
2.772408e+00 4.156639e-03
2.960933e+00 4.436872e-03
3.162278e+00 4.635003e-03
3.377314e+00 4.637539e-03
3.606973e+00 4.952903e-03
3.852248e+00 5.139209e-03
4.114203e+00 5.451050e-03
4.393971e+00 5.678640e-03
4.692762e+00 5.796505e-03
5.011872e+00 6.190701e-03
5.352682e+00 6.242879e-03
5.716667e+00 6.627682e-03
6.105402e+00 6.886474e-03
6.520572e+00 7.117965e-03
6.963974e+00 7.599616e-03
7.437527e+00 7.704811e-03
7.943282e+00 8.228747e-03
8.483429e+00 8.360335e-03
9.060306e+00 8.575782e-03
9.676411e+00 9.101305e-03
1.033441e+01 9.219128e-03
1.103716e+01 9.846165e-03
1.178769e+01 9.989164e-03
1.258925e+01 1.038366e-02
1.344533e+01 1.091439e-02
1.435962e+01 1.096070e-02
1.533608e+01 1.170590e-02
1.637894e+01 1.183159e-02
1.749271e+01 1.241343e-02
1.868222e+01 1.287268e-02
1.995262e+01 1.284996e-02
2.130941e+01 1.372380e-02
2.275846e+01 1.363832e-02
2.430604e+01 1.439018e-02
2.595887e+01 1.470308e-02
2.772408e+01 1.470159e-02
2.960933e+01 1.570139e-02
3.162278e+01 1.479263e-02
3.377314e+01 1.570784e-02
3.606973e+01 1.591373e-02
3.852248e+01 1.613163e-02
4.114203e+01 1.707397e-02
4.393971e+01 1.563210e-02
4.692762e+01 1.669501e-02
5.011872e+01 1.621269e-02
5.352682e+01 1.623732e-02
5.716667e+01 1.695165e-02
6.105402e+01 1.595992e-02
6.520572e+01 1.704524e-02
6.963974e+01 1.603743e-02
7.437527e+01 1.620604e-02
7.943282e+01 1.653911e-02
8.483429e+01 1.538443e-02
