# E_MeV_per_n    Probability
1.033441e+00 2.190383e-03
1.103716e+00 5.681253e-03
1.178769e+00 6.067539e-03
1.258925e+00 6.557968e-03
1.344533e+00 7.007795e-03
1.435962e+00 7.258419e-03
1.533608e+00 7.522232e-03
1.637894e+00 8.029249e-03
1.749271e+00 8.492951e-03
1.868222e+00 9.070477e-03
1.995262e+00 9.516582e-03
2.130941e+00 1.004836e-02
2.275846e+00 1.044880e-02
2.430604e+00 9.561731e-03
2.595887e+00 1.021202e-02
2.772408e+00 1.129033e-02
2.960933e+00 1.222427e-02
3.162278e+00 1.254147e-02
3.377314e+00 1.184258e-02
3.606973e+00 1.264790e-02
3.852248e+00 1.246152e-02
4.114203e+00 1.304732e-02
4.393971e+00 1.357363e-02
4.692762e+00 1.381992e-02
5.011872e+00 1.475975e-02
5.352682e+00 1.424236e-02
5.716667e+00 1.504699e-02
6.105402e+00 1.528611e-02
6.520572e+00 1.535797e-02
6.963974e+00 1.639292e-02
7.437527e+00 1.587608e-02
7.943282e+00 1.695567e-02
8.483429e+00 1.703469e-02
9.060306e+00 1.730707e-02
9.676411e+00 1.821532e-02
1.033441e+01 1.711862e-02
1.103716e+01 1.828294e-02
1.178769e+01 1.799460e-02
1.258925e+01 1.838990e-02
1.344533e+01 1.903869e-02
1.435962e+01 1.794536e-02
1.533608e+01 1.916543e-02
1.637894e+01 1.829782e-02
1.749271e+01 1.882099e-02
1.868222e+01 1.910304e-02
1.995262e+01 1.807383e-02
2.130941e+01 1.930291e-02
2.275846e+01 1.775832e-02
2.430604e+01 1.847368e-02
2.595887e+01 1.810046e-02
2.772408e+01 1.688055e-02
2.960933e+01 1.802853e-02
3.162278e+01 1.549547e-02
3.377314e+01 1.637668e-02
3.606973e+01 1.586506e-02
3.852248e+01 1.531494e-02
4.114203e+01 1.610859e-02
4.393971e+01 1.303254e-02
4.692762e+01 1.391868e-02
5.011872e+01 1.208497e-02
5.352682e+01 1.105436e-02
5.716667e+01 1.139628e-02
6.105402e+01 9.917089e-03
6.520572e+01 1.059148e-02
6.963974e+01 9.231437e-03
7.437527e+01 8.974097e-03
7.943282e+01 8.840074e-03
8.483429e+01 7.235018e-03
9.060306e+01 7.726996e-03
9.676411e+01 6.577383e-03
1.033441e+02 6.615168e-03
1.103716e+02 6.296250e-03
1.178769e+02 5.304866e-03
1.258925e+02 5.665578e-03
1.344533e+02 4.261627e-03
1.435962e+02 4.366498e-03
1.533608e+02 4.030123e-03
1.637894e+02 3.533560e-03
1.749271e+02 3.763365e-03
1.868222e+02 2.880219e-03
1.995262e+02 3.076070e-03
2.130941e+02 2.620546e-03
2.275846e+02 2.258085e-03
2.430604e+02 2.320401e-03
2.595887e+02 1.713390e-03
2.772408e+02 1.829889e-03
2.960933e+02 1.484884e-03
3.162278e+02 1.335853e-03
3.377314e+02 1.295624e-03
3.606973e+02 8.744154e-04
3.852248e+02 9.338755e-04
4.114203e+02 7.650810e-04
4.393971e+02 7.414190e-04
4.692762e+02 6.850721e-04
5.011872e+02 4.865757e-04
5.352682e+02 5.196611e-04
5.716667e+02 3.130558e-04
6.105402e+02 2.938530e-04
6.520572e+02 2.700849e-04
6.963974e+02 2.235967e-04
7.437527e+02 2.388010e-04
7.943282e+02 1.218961e-04
8.483429e+02 1.245965e-04
9.060306e+02 1.234580e-04
9.676411e+02 1.223537e-04
1.033441e+03 1.245339e-04
1.103716e+03 3.585950e-05
1.178769e+03 3.829770e-05
1.258925e+03 3.277576e-05
1.344533e+03 2.966904e-05
1.435962e+03 3.024622e-05
1.533608e+03 2.458084e-05
1.637894e+03 2.625259e-05
1.749271e+03 1.336316e-05
1.868222e+03 8.133166e-06
1.995262e+03 8.239298e-06
2.130941e+03 7.498590e-06
2.275846e+03 8.008510e-06
2.430604e+03 3.933865e-06
2.595887e+03 3.097617e-06
2.772408e+03 2.118260e-06
2.960933e+03 9.815427e-08
3.162278e+03 1.048285e-07
3.377314e+03 2.094651e-06
3.606973e+03 2.433473e-06
3.852248e+03 1.561548e-06
4.114203e+03 4.227931e-07
4.393971e+03 4.455408e-07
