# E_MeV_per_n    Probability
1.033441e+00 4.538465e-03
1.103716e+00 1.177154e-02
1.178769e+00 1.257192e-02
1.258925e+00 1.147688e-02
1.344533e+00 1.216020e-02
1.435962e+00 1.181506e-02
1.533608e+00 1.142707e-02
1.637894e+00 1.210442e-02
1.749271e+00 1.113239e-02
1.868222e+00 1.188940e-02
1.995262e+00 1.140054e-02
2.130941e+00 1.129877e-02
2.275846e+00 1.175933e-02
2.430604e+00 1.082066e-02
2.595887e+00 1.155658e-02
2.772408e+00 1.086842e-02
2.960933e+00 1.096983e-02
3.162278e+00 1.123562e-02
3.377314e+00 1.055023e-02
3.606973e+00 1.126767e-02
3.852248e+00 1.047240e-02
4.114203e+00 1.079421e-02
4.393971e+00 1.091087e-02
4.692762e+00 1.049544e-02
5.011872e+00 1.120919e-02
5.352682e+00 1.017207e-02
5.716667e+00 1.066993e-02
6.105402e+00 1.057367e-02
6.520572e+00 1.027847e-02
6.963974e+00 1.096758e-02
7.437527e+00 1.000606e-02
7.943282e+00 1.068648e-02
8.483429e+00 1.064053e-02
9.060306e+00 1.072670e-02
9.676411e+00 1.126128e-02
1.033441e+01 1.033320e-02
1.103716e+01 1.103601e-02
1.178769e+01 1.075302e-02
1.258925e+01 1.092530e-02
1.344533e+01 1.133214e-02
1.435962e+01 1.076900e-02
1.533608e+01 1.150116e-02
1.637894e+01 1.094610e-02
1.749271e+01 1.124628e-02
1.868222e+01 1.154538e-02
1.995262e+01 1.124392e-02
2.130941e+01 1.200854e-02
2.275846e+01 1.135908e-02
2.430604e+01 1.187893e-02
2.595887e+01 1.198383e-02
2.772408e+01 1.174148e-02
2.960933e+01 1.253998e-02
3.162278e+01 1.151432e-02
3.377314e+01 1.221110e-02
3.606973e+01 1.209107e-02
3.852248e+01 1.196070e-02
4.114203e+01 1.265490e-02
4.393971e+01 1.151005e-02
4.692762e+01 1.229268e-02
5.011872e+01 1.180740e-02
5.352682e+01 1.172998e-02
5.716667e+01 1.219104e-02
6.105402e+01 1.116852e-02
6.520572e+01 1.192800e-02
6.963974e+01 1.115133e-02
7.437527e+01 1.123406e-02
7.943282e+01 1.145648e-02
8.483429e+01 1.063036e-02
9.060306e+01 1.135322e-02
9.676411e+01 1.026724e-02
1.033441e+02 1.051119e-02
1.103716e+02 1.041301e-02
1.178769e+02 9.619858e-03
1.258925e+02 1.027397e-02
1.344533e+02 8.959660e-03
1.435962e+02 9.360920e-03
1.533608e+02 9.013530e-03
1.637894e+02 8.429242e-03
1.749271e+02 8.982842e-03
1.868222e+02 7.465579e-03
1.995262e+02 7.973228e-03
2.130941e+02 7.422467e-03
2.275846e+02 7.038208e-03
2.430604e+02 7.317700e-03
2.595887e+02 6.146392e-03
2.772408e+02 6.564308e-03
2.960933e+02 5.841800e-03
3.162278e+02 5.616530e-03
3.377314e+02 5.650163e-03
3.606973e+02 4.680966e-03
3.852248e+02 4.999271e-03
4.114203e+02 4.254173e-03
4.393971e+02 4.189928e-03
4.692762e+02 4.069516e-03
5.011872e+02 3.415816e-03
5.352682e+02 3.648079e-03
5.716667e+02 2.911298e-03
6.105402e+02 2.944442e-03
6.520572e+02 2.736582e-03
6.963974e+02 2.317742e-03
7.437527e+02 2.475345e-03
7.943282e+02 1.837875e-03
8.483429e+02 1.929030e-03
9.060306e+02 1.700179e-03
9.676411e+02 1.459944e-03
1.033441e+03 1.527278e-03
1.103716e+03 1.125855e-03
1.178769e+03 1.202405e-03
