# E_MeV_per_n    Probability
1.033441e+00 7.822154e-03
1.103716e+00 2.028852e-02
1.178769e+00 2.166800e-02
1.258925e+00 1.994370e-02
1.344533e+00 2.114062e-02
1.435962e+00 2.057719e-02
1.533608e+00 1.994235e-02
1.637894e+00 2.113347e-02
1.749271e+00 1.960046e-02
1.868222e+00 2.093330e-02
1.995262e+00 1.968412e-02
2.130941e+00 1.921594e-02
2.275846e+00 1.993543e-02
2.430604e+00 1.797448e-02
2.595887e+00 1.919692e-02
2.772408e+00 1.859587e-02
2.960933e+00 1.903572e-02
3.162278e+00 1.930192e-02
3.377314e+00 1.751059e-02
3.606973e+00 1.870136e-02
3.852248e+00 1.713642e-02
4.114203e+00 1.759265e-02
4.393971e+00 1.751887e-02
4.692762e+00 1.632914e-02
5.011872e+00 1.743961e-02
5.352682e+00 1.558813e-02
5.716667e+00 1.632091e-02
6.105402e+00 1.603693e-02
6.520572e+00 1.540734e-02
6.963974e+00 1.643671e-02
7.437527e+00 1.437238e-02
7.943282e+00 1.534972e-02
8.483429e+00 1.493561e-02
9.060306e+00 1.474857e-02
9.676411e+00 1.542033e-02
1.033441e+01 1.359021e-02
1.103716e+01 1.451454e-02
1.178769e+01 1.358052e-02
1.258925e+01 1.346506e-02
1.344533e+01 1.380430e-02
1.435962e+01 1.245557e-02
1.533608e+01 1.330240e-02
1.637894e+01 1.211985e-02
1.749271e+01 1.225078e-02
1.868222e+01 1.232150e-02
1.995262e+01 1.138052e-02
2.130941e+01 1.215443e-02
2.275846e+01 1.096332e-02
2.430604e+01 1.136126e-02
2.595887e+01 1.101704e-02
2.772408e+01 1.008651e-02
2.960933e+01 1.077246e-02
3.162278e+01 9.233099e-03
3.377314e+01 9.756709e-03
3.606973e+01 9.264434e-03
3.852248e+01 8.736052e-03
4.114203e+01 9.208044e-03
4.393971e+01 7.779232e-03
4.692762e+01 8.308181e-03
5.011872e+01 7.430340e-03
5.352682e+01 6.974281e-03
5.716667e+01 7.153158e-03
6.105402e+01 6.014735e-03
6.520572e+01 6.423752e-03
6.963974e+01 5.597484e-03
7.437527e+01 5.440715e-03
7.943282e+01 5.409165e-03
8.483429e+01 4.586781e-03
9.060306e+01 4.898680e-03
9.676411e+01 4.005603e-03
1.033441e+02 3.978238e-03
1.103716e+02 3.726534e-03
1.178769e+02 3.015644e-03
1.258925e+02 3.220697e-03
1.344533e+02 2.669864e-03
1.435962e+02 2.771861e-03
1.533608e+02 2.448778e-03
1.637894e+02 1.992789e-03
1.749271e+02 2.121842e-03
1.868222e+02 1.564251e-03
1.995262e+02 1.670617e-03
2.130941e+02 1.485106e-03
2.275846e+02 1.342798e-03
2.430604e+02 1.374936e-03
2.595887e+02 9.724021e-04
2.772408e+02 1.038519e-03
2.960933e+02 8.702749e-04
3.162278e+02 8.022436e-04
3.377314e+02 7.712166e-04
3.606973e+02 4.911066e-04
3.852248e+02 5.245017e-04
4.114203e+02 4.333414e-04
4.393971e+02 4.214860e-04
4.692762e+02 3.805623e-04
5.011872e+02 2.467039e-04
5.352682e+02 2.634789e-04
5.716667e+02 1.682801e-04
6.105402e+02 1.607926e-04
6.520572e+02 1.485707e-04
6.963974e+02 1.243481e-04
7.437527e+02 1.328036e-04
7.943282e+02 7.551417e-05
8.483429e+02 7.786549e-05
9.060306e+02 6.130284e-05
9.676411e+02 4.386750e-05
1.033441e+03 4.547397e-05
1.103716e+03 2.678945e-05
1.178769e+03 2.861094e-05
1.258925e+03 2.171946e-05
1.344533e+03 1.739415e-05
1.435962e+03 1.701952e-05
1.533608e+03 9.827826e-06
1.637894e+03 1.049622e-05
1.749271e+03 7.167811e-06
1.868222e+03 5.964317e-06
1.995262e+03 5.780285e-06
2.130941e+03 4.456977e-06
2.275846e+03 4.760061e-06
2.430604e+03 1.010789e-06
2.595887e+03 1.062729e-07
2.772408e+03 5.560673e-07
2.960933e+03 1.398765e-06
3.162278e+03 1.493877e-06
3.377314e+03 2.916386e-07
3.606973e+03 1.823307e-07
3.852248e+03 1.166256e-07
4.114203e+03 3.082758e-08
4.393971e+03 3.248621e-08
5.352682e+03 6.384624e-09
5.716667e+03 1.193910e-08
6.105402e+03 1.126474e-08
