# E_MeV_per_n    Probability
1.033441e+00 6.582301e-03
1.103716e+00 1.707269e-02
1.178769e+00 1.823351e-02
1.258925e+00 1.691283e-02
1.344533e+00 1.793540e-02
1.435962e+00 1.826332e-02
1.533608e+00 1.859857e-02
1.637894e+00 1.958823e-02
1.749271e+00 1.597013e-02
1.868222e+00 1.705611e-02
1.995262e+00 1.707487e-02
2.130941e+00 1.746464e-02
2.275846e+00 1.807527e-02
2.430604e+00 1.604565e-02
2.595887e+00 1.713691e-02
2.772408e+00 1.616822e-02
2.960933e+00 1.634452e-02
3.162278e+00 1.665385e-02
3.377314e+00 1.536508e-02
3.606973e+00 1.640995e-02
3.852248e+00 1.677076e-02
4.114203e+00 1.772241e-02
4.393971e+00 1.790252e-02
4.692762e+00 1.719826e-02
5.011872e+00 1.836784e-02
5.352682e+00 1.636835e-02
5.716667e+00 1.713144e-02
6.105402e+00 1.723402e-02
6.520572e+00 1.709489e-02
6.963974e+00 1.821794e-02
7.437527e+00 1.261658e-02
7.943282e+00 1.347453e-02
8.483429e+00 1.275841e-02
9.060306e+00 1.227935e-02
9.676411e+00 1.282224e-02
1.033441e+01 1.115464e-02
1.103716e+01 1.191332e-02
1.178769e+01 1.118052e-02
1.258925e+01 1.110635e-02
1.344533e+01 1.141250e-02
1.435962e+01 1.040634e-02
1.533608e+01 1.111385e-02
1.637894e+01 1.009949e-02
1.749271e+01 1.019833e-02
1.868222e+01 1.022185e-02
1.995262e+01 9.353628e-03
2.130941e+01 9.989705e-03
2.275846e+01 8.833660e-03
2.430604e+01 9.118198e-03
2.595887e+01 8.990288e-03
2.772408e+01 8.476661e-03
2.960933e+01 9.053128e-03
3.162278e+01 7.822489e-03
3.377314e+01 8.269707e-03
3.606973e+01 7.957664e-03
3.852248e+01 7.622404e-03
4.114203e+01 8.049087e-03
4.393971e+01 7.053632e-03
4.692762e+01 7.533244e-03
5.011872e+01 7.085685e-03
5.352682e+01 6.927981e-03
5.716667e+01 7.181409e-03
6.105402e+01 6.472313e-03
6.520572e+01 6.912447e-03
6.963974e+01 6.337719e-03
7.437527e+01 6.324168e-03
7.943282e+01 6.407040e-03
8.483429e+01 5.813611e-03
9.060306e+01 6.208934e-03
9.676411e+01 5.570832e-03
1.033441e+02 5.690439e-03
1.103716e+02 5.631429e-03
1.178769e+02 5.190819e-03
1.258925e+02 5.543776e-03
1.344533e+02 4.837329e-03
1.435962e+02 5.054320e-03
1.533608e+02 4.860236e-03
1.637894e+02 4.536389e-03
1.749271e+02 4.834473e-03
1.868222e+02 4.034535e-03
1.995262e+02 4.308878e-03
2.130941e+02 4.050767e-03
2.275846e+02 3.877948e-03
2.430604e+02 4.041530e-03
2.595887e+02 3.477186e-03
2.772408e+02 3.713612e-03
2.960933e+02 3.384515e-03
3.162278e+02 3.304905e-03
3.377314e+02 3.362127e-03
3.606973e+02 2.939840e-03
3.852248e+02 3.139748e-03
4.114203e+02 2.751768e-03
4.393971e+02 2.742917e-03
4.692762e+02 2.698095e-03
5.011872e+02 2.350529e-03
5.352682e+02 2.510357e-03
5.716667e+02 2.082254e-03
6.105402e+02 2.123631e-03
6.520572e+02 2.008927e-03
6.963974e+02 1.761434e-03
7.437527e+02 1.881209e-03
7.943282e+02 1.456420e-03
8.483429e+02 1.532259e-03
9.060306e+02 1.384039e-03
9.676411e+02 1.228671e-03
1.033441e+03 1.287428e-03
1.103716e+03 9.828166e-04
1.178769e+03 1.049641e-03
1.258925e+03 9.029177e-04
1.344533e+03 8.211171e-04
1.435962e+03 8.297039e-04
1.533608e+03 6.328107e-04
1.637894e+03 6.758484e-04
1.749271e+03 5.466489e-04
1.868222e+03 5.105503e-04
1.995262e+03 4.982705e-04
2.130941e+03 3.953421e-04
2.275846e+03 4.222263e-04
2.430604e+03 3.255068e-04
2.595887e+03 3.176724e-04
2.772408e+03 2.956562e-04
2.960933e+03 2.364398e-04
3.162278e+03 2.525172e-04
3.377314e+03 1.794506e-04
3.606973e+03 1.827159e-04
3.852248e+03 1.597809e-04
4.114203e+03 1.282122e-04
4.393971e+03 1.362693e-04
4.692762e+03 9.307615e-05
5.011872e+03 9.940586e-05
5.352682e+03 8.240166e-05
5.716667e+03 6.894757e-05
6.105402e+03 7.019034e-05
6.520572e+03 4.707149e-05
6.963974e+03 5.027238e-05
7.437527e+03 4.019037e-05
7.943282e+03 3.584467e-05
8.483429e+03 3.492035e-05
9.060306e+03 2.450061e-05
9.676411e+03 2.616668e-05
1.033441e+04 1.881304e-05
1.103716e+04 1.717329e-05
1.178769e+04 1.610857e-05
1.258925e+04 1.216138e-05
1.344533e+04 1.298837e-05
1.435962e+04 9.212407e-06
1.533608e+04 9.081494e-06
1.637894e+04 7.947163e-06
1.749271e+04 5.927501e-06
1.868222e+04 6.330574e-06
1.995262e+04 4.338633e-06
2.130941e+04 4.541378e-06
2.275846e+04 3.600316e-06
2.430604e+04 2.626800e-06
2.595887e+04 2.733976e-06
2.772408e+04 1.853596e-06
2.960933e+04 1.979652e-06
3.162278e+04 1.503555e-06
3.377314e+04 1.210650e-06
3.606973e+04 1.179254e-06
3.852248e+04 6.652080e-07
4.114203e+04 7.104408e-07
4.393971e+04 5.400980e-07
4.692762e+04 4.868954e-07
5.011872e+04 4.341709e-07
5.352682e+04 2.182482e-07
5.716667e+04 2.330897e-07
6.105402e+04 2.159611e-07
6.520572e+04 2.229455e-07
6.963974e+04 1.917634e-07
7.437527e+04 1.217787e-07
7.943282e+04 1.300598e-07
8.483429e+04 4.584243e-08
9.060306e+04 4.014243e-08
9.676411e+04 4.486833e-08
1.033441e+05 5.028135e-08
1.103716e+05 5.283035e-08
1.178769e+05 2.298088e-09
1.258925e+05 2.454349e-09
1.344533e+05 1.412735e-09
1.435962e+05 5.532316e-10
1.533608e+05 7.138456e-10
1.637894e+05 1.724677e-09
1.749271e+05 1.841945e-09
1.868222e+05 1.653032e-09
1.995262e+05 1.603265e-09
2.130941e+05 1.331002e-09
