# E_MeV_per_n    Probability
1.033441e+00 1.087596e-02
1.103716e+00 2.820927e-02
1.178769e+00 3.012730e-02
1.258925e+00 2.869330e-02
1.344533e+00 3.047102e-02
1.435962e+00 2.945979e-02
1.533608e+00 2.832885e-02
1.637894e+00 3.018226e-02
1.749271e+00 3.091729e-02
1.868222e+00 3.301969e-02
1.995262e+00 2.923473e-02
2.130941e+00 2.714618e-02
2.275846e+00 2.789823e-02
2.430604e+00 2.361711e-02
2.595887e+00 2.522331e-02
2.772408e+00 2.455798e-02
2.960933e+00 2.519819e-02
3.162278e+00 2.517504e-02
3.377314e+00 2.164466e-02
3.606973e+00 2.311655e-02
3.852248e+00 2.245699e-02
4.114203e+00 2.342626e-02
4.393971e+00 2.331687e-02
4.692762e+00 2.171098e-02
5.011872e+00 2.318745e-02
5.352682e+00 2.025767e-02
5.716667e+00 2.114969e-02
6.105402e+00 2.082912e-02
6.520572e+00 2.007501e-02
6.963974e+00 2.137914e-02
7.437527e+00 1.224913e-02
7.943282e+00 1.308209e-02
8.483429e+00 1.149289e-02
9.060306e+00 1.022956e-02
9.676411e+00 1.058080e-02
1.033441e+01 8.306721e-03
1.103716e+01 8.871701e-03
1.178769e+01 7.861701e-03
1.258925e+01 7.523784e-03
1.344533e+01 7.633810e-03
1.435962e+01 6.559147e-03
1.533608e+01 7.005092e-03
1.637894e+01 6.119939e-03
1.749271e+01 6.083901e-03
1.868222e+01 5.977914e-03
1.995262e+01 5.171767e-03
2.130941e+01 5.523464e-03
2.275846e+01 4.647489e-03
2.430604e+01 4.747936e-03
2.595887e+01 4.576864e-03
2.772408e+01 4.145211e-03
2.960933e+01 4.427111e-03
3.162278e+01 3.658688e-03
3.377314e+01 3.858409e-03
3.606973e+01 3.650551e-03
3.852248e+01 3.427485e-03
4.114203e+01 3.614011e-03
4.393971e+01 3.076179e-03
4.692762e+01 3.285344e-03
5.011872e+01 3.114070e-03
5.352682e+01 3.062850e-03
5.716667e+01 3.181684e-03
6.105402e+01 2.906020e-03
6.520572e+01 3.103636e-03
6.963974e+01 2.868347e-03
7.437527e+01 2.873493e-03
7.943282e+01 2.891069e-03
8.483429e+01 2.560553e-03
9.060306e+01 2.734670e-03
9.676411e+01 2.392940e-03
1.033441e+02 2.426661e-03
1.103716e+02 2.367464e-03
1.178769e+02 2.114422e-03
1.258925e+02 2.258195e-03
1.344533e+02 1.782945e-03
1.435962e+02 1.839201e-03
1.533608e+02 1.698504e-03
1.637894e+02 1.490618e-03
1.749271e+02 1.586573e-03
1.868222e+02 1.106492e-03
1.995262e+02 1.181732e-03
2.130941e+02 1.024683e-03
2.275846e+02 9.012560e-04
2.430604e+02 9.290544e-04
2.595887e+02 7.115210e-04
2.772408e+02 7.599000e-04
2.960933e+02 6.390700e-04
3.162278e+02 5.906581e-04
3.377314e+02 5.866794e-04
3.606973e+02 4.550382e-04
3.852248e+02 4.859807e-04
4.114203e+02 3.789378e-04
4.393971e+02 3.590609e-04
4.692762e+02 3.419752e-04
5.011872e+02 2.699610e-04
5.352682e+02 2.883174e-04
5.716667e+02 1.946851e-04
6.105402e+02 1.889725e-04
6.520572e+02 1.705348e-04
6.963974e+02 1.357509e-04
7.437527e+02 1.449818e-04
7.943282e+02 9.025938e-05
8.483429e+02 9.368637e-05
9.060306e+02 7.794799e-05
9.676411e+02 6.139592e-05
1.033441e+03 6.374106e-05
1.103716e+03 3.912856e-05
1.178769e+03 4.178904e-05
1.258925e+03 3.068023e-05
1.344533e+03 2.360685e-05
1.435962e+03 2.304784e-05
1.533608e+03 1.301303e-05
1.637894e+03 1.389805e-05
1.749271e+03 8.839491e-06
1.868222e+03 6.929148e-06
1.995262e+03 6.409001e-06
2.130941e+03 3.958988e-06
2.275846e+03 4.228208e-06
2.430604e+03 3.872492e-06
2.595887e+03 3.982162e-06
2.772408e+03 3.660683e-06
2.960933e+03 2.832555e-06
3.162278e+03 3.025162e-06
3.377314e+03 1.045945e-06
3.606973e+03 9.006608e-07
3.852248e+03 8.420028e-07
4.114203e+03 7.553669e-07
4.393971e+03 7.963924e-07
4.692762e+03 3.082182e-08
5.011872e+03 3.291787e-08
5.352682e+03 4.336035e-07
5.716667e+03 7.826345e-07
6.105402e+03 7.387026e-07
6.520572e+03 2.507267e-09
6.963974e+03 2.677763e-09
7.437527e+03 9.417028e-10
