# E_MeV_per_n    Probability
1.033441e+00 1.271751e-02
1.103716e+00 3.536692e-02
1.178769e+00 5.986013e-02
1.258925e+00 6.030854e-02
1.533608e+00 1.262082e-02
1.637894e+00 2.199080e-02
1.749271e+00 2.193544e-02
1.868222e+00 1.470845e-02
1.995262e+00 1.570861e-02
2.130941e+00 5.781894e-02
2.275846e+00 7.945881e-02
2.430604e+00 6.356668e-02
2.595887e+00 3.800709e-03
2.772408e+00 4.059133e-03
2.960933e+00 6.117311e-03
3.162278e+00 6.977085e-03
3.377314e+00 8.708005e-03
3.606973e+00 1.164955e-02
3.852248e+00 1.244171e-02
4.114203e+00 1.210271e-03
4.692762e+00 2.309413e-03
5.011872e+00 5.310063e-03
5.352682e+00 5.777384e-03
5.716667e+00 2.296831e-02
6.105402e+00 2.453012e-02
6.520572e+00 1.140209e-02
7.437527e+00 2.784957e-03
7.943282e+00 2.703723e-02
8.483429e+00 2.887579e-02
9.060306e+00 1.034961e-02
1.258925e+01 3.377053e-03
1.344533e+01 4.724641e-03
1.435962e+01 4.055225e-02
1.533608e+01 1.259340e-01
1.637894e+01 1.344989e-01
1.749271e+01 1.986637e-02
1.995262e+01 2.904492e-03
2.130941e+01 7.459468e-03
2.275846e+01 7.966729e-03
2.430604e+01 3.457161e-04
