# E_MeV_per_n    Probability
1.033441e+00 3.273750e-06
1.103716e+00 3.496413e-06
1.178769e+00 2.046815e-06
1.258925e+00 1.928389e-06
1.344533e+00 4.996060e-05
1.435962e+00 1.213179e-04
1.533608e+00 1.295661e-04
1.637894e+00 8.938087e-06
1.749271e+00 5.639356e-06
1.868222e+00 3.658597e-06
1.995262e+00 1.668194e-06
2.130941e+00 1.940215e-06
2.275846e+00 4.185762e-06
2.430604e+00 4.470364e-06
2.595887e+00 6.048138e-06
2.772408e+00 7.258827e-06
2.960933e+00 8.632762e-06
3.162278e+00 1.359001e-05
3.377314e+00 1.451411e-05
3.606973e+00 7.366346e-06
3.852248e+00 4.638431e-06
4.114203e+00 6.320613e-06
4.393971e+00 1.051862e-05
4.692762e+00 1.123384e-05
5.011872e+00 1.958695e-05
5.352682e+00 2.260724e-05
5.716667e+00 2.234794e-05
6.105402e+00 2.074644e-05
6.520572e+00 2.215725e-05
6.963974e+00 8.427090e-06
7.437527e+00 7.690089e-06
7.943282e+00 1.829469e-05
8.483429e+00 3.113024e-05
9.060306e+00 3.336683e-05
9.676411e+00 4.077139e-05
1.033441e+01 4.354358e-05
1.103716e+01 5.610750e-05
1.178769e+01 6.729575e-05
1.258925e+01 6.910603e-05
1.344533e+01 5.358980e-05
1.435962e+01 5.723454e-05
1.533608e+01 8.304946e-05
1.637894e+01 9.965313e-05
1.749271e+01 1.079282e-04
1.868222e+01 1.206284e-04
1.995262e+01 1.288309e-04
2.130941e+01 1.930752e-04
2.275846e+01 2.229073e-04
2.430604e+01 2.291896e-04
2.595887e+01 2.256919e-04
2.772408e+01 2.410375e-04
2.960933e+01 3.273191e-04
3.162278e+01 3.599164e-04
3.377314e+01 4.177761e-04
3.606973e+01 4.928816e-04
3.852248e+01 5.263975e-04
4.114203e+01 5.449072e-04
4.393971e+01 5.815077e-04
4.692762e+01 6.944599e-04
5.011872e+01 8.102541e-04
5.352682e+01 8.654130e-04
5.716667e+01 9.250814e-04
6.105402e+01 9.879853e-04
6.520572e+01 1.246200e-03
6.963974e+01 1.449075e-03
7.437527e+01 1.558525e-03
7.943282e+01 1.717400e-03
8.483429e+01 1.834185e-03
9.060306e+01 2.192775e-03
9.676411e+01 2.433109e-03
1.033441e+02 2.717923e-03
1.103716e+02 3.226207e-03
1.178769e+02 3.445566e-03
1.258925e+02 3.715158e-03
1.344533e+02 3.975460e-03
1.435962e+02 4.413827e-03
1.533608e+02 5.001438e-03
1.637894e+02 5.341587e-03
1.749271e+02 6.066726e-03
1.868222e+02 6.508863e-03
1.995262e+02 7.141547e-03
2.130941e+02 7.842731e-03
2.275846e+02 8.398370e-03
2.430604e+02 9.800333e-03
2.595887e+02 1.046685e-02
2.772408e+02 1.110288e-02
2.960933e+02 1.180067e-02
3.162278e+02 1.262937e-02
3.377314e+02 1.367433e-02
3.606973e+02 1.460422e-02
3.852248e+02 1.555537e-02
4.114203e+02 1.659247e-02
4.393971e+02 1.756593e-02
4.692762e+02 1.821729e-02
5.011872e+02 1.945617e-02
5.352682e+02 1.966083e-02
5.716667e+02 2.066785e-02
6.105402e+02 2.147698e-02
6.520572e+02 2.167523e-02
6.963974e+02 2.314916e-02
7.437527e+02 2.255055e-02
7.943282e+02 2.377272e-02
8.483429e+02 2.401531e-02
9.060306e+02 2.375372e-02
9.676411e+02 2.536900e-02
1.033441e+03 2.423762e-02
1.103716e+03 2.582151e-02
1.178769e+03 2.480842e-02
1.258925e+03 2.394511e-02
1.344533e+03 2.523861e-02
1.435962e+03 2.291638e-02
1.533608e+03 2.447443e-02
1.637894e+03 2.288714e-02
1.749271e+03 2.246210e-02
1.868222e+03 2.311226e-02
1.995262e+03 2.053284e-02
2.130941e+03 2.192914e-02
2.275846e+03 1.909043e-02
2.430604e+03 1.872888e-02
2.595887e+03 1.813131e-02
2.772408e+03 1.438149e-02
2.960933e+03 1.535952e-02
3.162278e+03 1.142456e-02
3.377314e+03 1.114601e-02
3.606973e+03 1.046917e-02
3.852248e+03 8.761358e-03
4.114203e+03 9.357113e-03
4.393971e+03 7.383133e-03
4.692762e+03 7.682574e-03
5.011872e+03 6.947648e-03
5.352682e+03 6.014111e-03
5.716667e+03 6.366609e-03
6.105402e+03 4.943142e-03
6.520572e+03 5.279289e-03
6.963974e+03 4.636815e-03
7.437527e+03 4.204714e-03
7.943282e+03 4.274135e-03
8.483429e+03 3.078272e-03
9.060306e+03 3.287593e-03
9.676411e+03 2.769873e-03
1.033441e+04 2.599399e-03
1.103716e+04 2.544297e-03
1.178769e+04 1.920213e-03
1.258925e+04 2.050781e-03
1.344533e+04 1.790371e-03
1.435962e+04 1.796517e-03
1.533608e+04 1.663101e-03
1.637894e+04 1.243666e-03
1.749271e+04 1.328228e-03
1.868222e+04 8.762018e-04
1.995262e+04 8.605960e-04
2.130941e+04 8.401680e-04
2.275846e+04 7.899686e-04
2.430604e+04 8.436809e-04
2.595887e+04 6.195454e-04
2.772408e+04 6.563553e-04
2.960933e+04 5.353532e-04
3.162278e+04 4.213099e-04
3.377314e+04 4.389279e-04
3.606973e+04 3.418191e-04
3.852248e+04 3.650628e-04
4.114203e+04 2.807480e-04
4.393971e+04 2.343311e-04
4.692762e+04 2.316619e-04
5.011872e+04 1.614344e-04
5.352682e+04 1.724114e-04
5.716667e+04 1.232880e-04
6.105402e+04 1.087589e-04
6.520572e+04 8.249270e-05
