# E_MeV_per_n    Probability
1.033441e+00 1.523226e-05
1.103716e+00 3.950832e-05
1.178769e+00 4.219461e-05
1.258925e+00 4.746877e-05
1.344533e+00 5.081650e-05
1.435962e+00 7.288924e-05
1.533608e+00 9.676487e-05
1.637894e+00 1.297084e-04
1.749271e+00 6.126171e-04
1.868222e+00 6.542754e-04
1.995262e+00 3.766225e-04
2.130941e+00 1.844581e-04
2.275846e+00 1.954601e-04
2.430604e+00 2.000451e-04
2.595887e+00 2.136501e-04
2.772408e+00 2.952131e-04
2.960933e+00 3.442933e-04
3.162278e+00 3.538308e-04
3.377314e+00 3.360100e-04
3.606973e+00 3.588596e-04
3.852248e+00 4.086200e-04
4.114203e+00 4.427435e-04
4.393971e+00 4.797798e-04
4.692762e+00 5.253870e-04
5.011872e+00 5.611163e-04
5.352682e+00 5.598868e-04
5.716667e+00 5.937172e-04
6.105402e+00 6.414683e-04
6.520572e+00 6.941967e-04
6.963974e+00 7.409768e-04
7.437527e+00 7.174277e-04
7.943282e+00 7.662136e-04
8.483429e+00 1.039388e-03
9.060306e+00 1.292434e-03
9.676411e+00 1.357008e-03
1.033441e+01 1.246623e-03
1.103716e+01 1.331412e-03
1.178769e+01 1.622084e-03
1.258925e+01 1.840625e-03
1.344533e+01 1.910542e-03
1.435962e+01 1.821215e-03
1.533608e+01 1.945036e-03
1.637894e+01 2.293086e-03
1.749271e+01 2.520656e-03
1.868222e+01 2.572201e-03
1.995262e+01 2.467427e-03
2.130941e+01 2.635220e-03
2.275846e+01 2.889518e-03
2.430604e+01 3.098917e-03
2.595887e+01 3.352111e-03
2.772408e+01 3.643854e-03
2.960933e+01 3.891660e-03
3.162278e+01 3.988375e-03
3.377314e+01 4.251874e-03
3.606973e+01 4.176979e-03
3.852248e+01 4.096159e-03
4.114203e+01 4.412320e-03
4.393971e+01 5.346042e-03
4.692762e+01 5.709546e-03
5.011872e+01 5.664871e-03
5.352682e+01 5.761602e-03
5.716667e+01 6.039536e-03
6.105402e+01 5.823867e-03
6.520572e+01 6.219905e-03
6.963974e+01 5.981819e-03
7.437527e+01 6.107331e-03
7.943282e+01 6.247070e-03
8.483429e+01 5.855046e-03
9.060306e+01 6.253186e-03
9.676411e+01 7.521033e-03
1.033441e+02 8.238377e-03
1.103716e+02 8.226736e-03
1.178769e+02 7.730091e-03
1.258925e+02 8.255709e-03
1.344533e+02 8.684039e-03
1.435962e+02 9.260900e-03
1.533608e+02 9.405729e-03
1.637894e+02 9.455421e-03
1.749271e+02 1.010283e-02
1.868222e+02 1.127947e-02
1.995262e+02 1.204646e-02
2.130941e+02 1.233009e-02
2.275846e+02 1.273294e-02
2.430604e+02 1.347542e-02
2.595887e+02 1.335835e-02
2.772408e+02 1.426663e-02
2.960933e+02 1.392350e-02
3.162278e+02 1.417085e-02
3.377314e+02 1.506791e-02
3.606973e+02 1.583404e-02
3.852248e+02 1.691075e-02
4.114203e+02 1.625225e-02
4.393971e+02 1.676824e-02
4.692762e+02 1.712581e-02
5.011872e+02 1.649391e-02
5.352682e+02 1.761544e-02
5.716667e+02 1.708256e-02
6.105402e+02 1.795450e-02
6.520572e+02 1.791725e-02
6.963974e+02 1.727055e-02
7.437527e+02 1.844492e-02
7.943282e+02 1.812131e-02
8.483429e+02 1.928735e-02
9.060306e+02 1.850769e-02
9.676411e+02 1.769928e-02
1.033441e+03 1.867912e-02
1.103716e+03 1.641145e-02
1.178769e+03 1.752732e-02
1.258925e+03 1.662000e-02
1.344533e+03 1.637192e-02
1.435962e+03 1.688013e-02
1.533608e+03 1.478358e-02
1.637894e+03 1.578901e-02
1.749271e+03 1.421409e-02
1.868222e+03 1.407274e-02
1.995262e+03 1.412941e-02
2.130941e+03 1.246949e-02
2.275846e+03 1.331744e-02
2.430604e+03 1.141197e-02
2.595887e+03 1.151639e-02
2.772408e+03 1.106470e-02
2.960933e+03 9.571611e-03
3.162278e+03 1.022246e-02
3.377314e+03 8.162336e-03
3.606973e+03 8.444497e-03
3.852248e+03 7.817571e-03
4.114203e+03 6.907706e-03
4.393971e+03 7.346411e-03
4.692762e+03 5.384749e-03
5.011872e+03 5.750943e-03
5.352682e+03 5.043351e-03
5.716667e+03 4.505237e-03
6.105402e+03 4.617463e-03
6.520572e+03 3.360034e-03
6.963974e+03 3.588518e-03
7.437527e+03 2.981774e-03
7.943282e+03 2.738460e-03
8.483429e+03 2.689904e-03
9.060306e+03 1.979308e-03
9.676411e+03 2.113903e-03
1.033441e+04 1.618510e-03
1.103716e+04 1.524296e-03
1.178769e+04 1.428276e-03
1.258925e+04 1.074396e-03
1.344533e+04 1.147456e-03
1.435962e+04 9.027471e-04
1.533608e+04 9.116691e-04
1.637894e+04 8.202294e-04
1.749271e+04 6.517851e-04
1.868222e+04 6.961069e-04
1.995262e+04 4.828696e-04
2.130941e+04 5.057786e-04
2.275846e+04 4.102790e-04
2.430604e+04 3.115632e-04
2.595887e+04 3.229906e-04
2.772408e+04 1.993172e-04
2.960933e+04 2.128721e-04
3.162278e+04 1.742395e-04
3.377314e+04 1.517258e-04
3.606973e+04 1.481879e-04
3.852248e+04 8.586509e-05
4.114203e+04 9.170374e-05
4.393971e+04 6.645634e-05
4.692762e+04 5.802678e-05
5.011872e+04 5.489164e-05
5.352682e+04 3.837556e-05
5.716667e+04 4.098520e-05
6.105402e+04 2.611495e-05
6.520572e+04 2.376729e-05
6.963974e+04 1.930613e-05
7.437527e+04 9.731115e-06
7.943282e+04 1.039284e-05
8.483429e+04 4.729763e-06
9.060306e+04 4.447868e-06
9.676411e+04 3.256949e-06
1.033441e+05 1.711147e-06
1.103716e+05 1.801808e-06
1.178769e+05 3.257000e-07
1.258925e+05 3.478464e-07
1.344533e+05 3.219977e-07
1.435962e+05 3.047550e-07
1.533608e+05 2.963765e-07
1.637894e+05 8.888608e-08
1.749271e+05 9.492981e-08
1.868222e+05 3.303541e-08
