# E_MeV_per_n    Probability
1.033441e+00 1.404707e-04
1.103716e+00 3.643427e-04
1.178769e+00 3.891154e-04
1.258925e+00 2.001112e-03
1.344533e+00 2.216162e-03
1.435962e+00 1.502450e-03
1.533608e+00 7.260750e-04
1.637894e+00 9.277312e-04
1.749271e+00 3.729249e-03
1.868222e+00 3.982840e-03
1.995262e+00 2.262643e-03
2.130941e+00 1.070529e-03
2.275846e+00 1.316942e-03
2.430604e+00 2.386967e-03
2.595887e+00 2.549304e-03
2.772408e+00 2.440255e-03
2.960933e+00 2.484028e-03
3.162278e+00 2.720343e-03
3.377314e+00 3.108798e-03
3.606973e+00 3.320205e-03
3.852248e+00 2.362848e-03
4.114203e+00 2.227794e-03
4.393971e+00 2.110566e-03
4.692762e+00 1.750348e-03
5.011872e+00 1.869381e-03
5.352682e+00 1.749779e-03
5.716667e+00 1.842186e-03
6.105402e+00 3.151795e-03
6.520572e+00 4.827792e-03
6.963974e+00 5.139693e-03
7.437527e+00 2.644436e-03
7.943282e+00 2.824261e-03
8.483429e+00 7.802884e-03
9.060306e+00 1.228209e-02
9.676411e+00 1.215355e-02
1.033441e+01 4.602701e-03
1.103716e+01 4.915753e-03
1.178769e+01 6.475064e-03
1.258925e+01 7.577908e-03
1.344533e+01 7.834488e-03
1.435962e+01 7.340502e-03
1.533608e+01 7.839569e-03
1.637894e+01 9.187628e-03
1.749271e+01 1.008295e-02
1.868222e+01 1.027989e-02
1.995262e+01 9.838603e-03
2.130941e+01 1.050766e-02
2.275846e+01 1.089621e-02
2.430604e+01 1.158093e-02
2.595887e+01 1.312153e-02
2.772408e+01 1.514606e-02
2.960933e+01 1.617609e-02
3.162278e+01 1.439789e-02
3.377314e+01 1.524488e-02
3.606973e+01 1.525210e-02
3.852248e+01 1.525745e-02
4.114203e+01 1.607196e-02
4.393971e+01 1.341057e-02
4.692762e+01 1.432243e-02
5.011872e+01 1.635595e-02
5.352682e+01 1.817399e-02
5.716667e+01 1.890577e-02
6.105402e+01 1.741850e-02
6.520572e+01 1.860300e-02
6.963974e+01 2.077871e-02
7.437527e+01 2.257910e-02
7.943282e+01 2.205247e-02
8.483429e+01 1.743973e-02
9.060306e+01 1.862562e-02
9.676411e+01 1.944976e-02
1.033441e+02 2.066407e-02
1.103716e+02 2.179988e-02
1.178769e+02 2.278426e-02
1.258925e+02 2.433350e-02
1.344533e+02 2.018668e-02
1.435962e+02 2.095985e-02
1.533608e+02 1.902907e-02
1.637894e+02 1.623929e-02
1.749271e+02 1.733577e-02
1.868222e+02 1.767727e-02
1.995262e+02 1.887930e-02
2.130941e+02 1.585309e-02
2.275846e+02 1.342539e-02
2.430604e+02 1.378242e-02
2.595887e+02 1.005968e-02
2.772408e+02 1.074368e-02
2.960933e+02 1.132120e-02
3.162278e+02 1.200948e-02
3.377314e+02 1.207245e-02
3.606973e+02 9.964750e-03
3.852248e+02 1.064235e-02
4.114203e+02 8.132766e-03
4.393971e+02 7.632313e-03
4.692762e+02 7.282869e-03
5.011872e+02 5.784576e-03
5.352682e+02 6.177906e-03
5.716667e+02 3.950715e-03
6.105402e+02 3.776323e-03
6.520572e+02 3.346060e-03
6.963974e+02 2.555126e-03
7.437527e+02 2.728871e-03
7.943282e+02 2.738923e-03
8.483429e+02 2.917806e-03
9.060306e+02 3.022562e-03
9.676411e+02 3.135531e-03
1.033441e+03 3.180604e-03
1.103716e+03 7.365759e-04
1.178769e+03 7.866580e-04
1.258925e+03 5.371408e-04
1.344533e+03 3.747146e-04
1.435962e+03 6.238760e-04
1.533608e+03 1.865177e-03
1.637894e+03 1.992029e-03
1.749271e+03 6.728579e-04
1.868222e+03 1.101094e-04
1.995262e+03 2.958340e-04
2.130941e+03 8.348213e-04
2.275846e+03 8.915910e-04
2.430604e+03 7.481145e-04
2.595887e+03 7.502225e-04
2.772408e+03 5.084362e-04
2.960933e+03 1.051610e-05
3.162278e+03 1.123117e-05
3.377314e+03 1.018004e-06
3.852248e+03 5.292433e-08
4.114203e+03 1.200351e-07
4.393971e+03 1.264934e-07
