# E_MeV_per_n    Probability
1.033441e+00 2.351116e-05
1.103716e+00 6.098152e-05
1.178769e+00 6.512784e-05
1.258925e+00 4.707543e-05
1.344533e+00 4.915689e-05
1.435962e+00 5.183117e-05
1.533608e+00 5.467521e-05
1.637894e+00 6.001704e-05
1.749271e+00 9.329149e-05
1.868222e+00 9.963536e-05
1.995262e+00 1.157961e-04
2.130941e+00 1.300156e-04
2.275846e+00 1.465874e-04
2.430604e+00 2.002122e-04
2.595887e+00 2.138286e-04
2.772408e+00 2.376771e-04
2.960933e+00 2.578686e-04
3.162278e+00 2.601388e-04
3.377314e+00 2.317492e-04
3.606973e+00 2.475087e-04
3.852248e+00 3.185699e-04
4.114203e+00 3.537869e-04
4.393971e+00 3.868910e-04
4.692762e+00 4.301518e-04
5.011872e+00 4.594046e-04
5.352682e+00 5.055804e-04
5.716667e+00 5.415708e-04
6.105402e+00 5.947577e-04
6.520572e+00 6.553948e-04
6.963974e+00 7.009268e-04
7.437527e+00 9.159873e-04
7.943282e+00 9.782754e-04
8.483429e+00 1.038799e-03
9.060306e+00 1.104487e-03
9.676411e+00 1.164490e-03
1.033441e+01 1.112376e-03
1.103716e+01 1.188034e-03
1.178769e+01 1.343707e-03
1.258925e+01 1.475580e-03
1.344533e+01 1.571023e-03
1.435962e+01 1.658435e-03
1.533608e+01 1.771189e-03
1.637894e+01 1.692367e-03
1.749271e+01 1.741259e-03
1.868222e+01 2.026007e-03
1.995262e+01 2.551907e-03
2.130941e+01 2.725444e-03
2.275846e+01 2.411412e-03
2.430604e+01 2.489370e-03
2.595887e+01 2.988942e-03
2.772408e+01 3.688837e-03
2.960933e+01 3.939702e-03
3.162278e+01 3.289528e-03
3.377314e+01 3.471092e-03
3.606973e+01 3.750874e-03
3.852248e+01 4.049772e-03
4.114203e+01 4.295350e-03
4.393971e+01 4.085700e-03
4.692762e+01 4.363507e-03
5.011872e+01 4.385828e-03
5.352682e+01 4.501216e-03
5.716667e+01 4.831515e-03
6.105402e+01 5.293189e-03
6.520572e+01 5.653139e-03
6.963974e+01 5.316145e-03
7.437527e+01 5.370706e-03
7.943282e+01 5.910410e-03
8.483429e+01 6.829551e-03
9.060306e+01 7.293957e-03
9.676411e+01 6.337161e-03
1.033441e+02 6.412940e-03
1.103716e+02 6.865372e-03
1.178769e+02 7.362188e-03
1.258925e+02 7.862790e-03
1.344533e+02 7.855674e-03
1.435962e+02 8.333942e-03
1.533608e+02 8.882176e-03
1.637894e+02 9.463894e-03
1.749271e+02 1.010463e-02
1.868222e+02 1.049223e-02
1.995262e+02 1.120569e-02
2.130941e+02 1.198934e-02
2.275846e+02 1.282224e-02
2.430604e+02 1.353701e-02
2.595887e+02 1.314092e-02
2.772408e+02 1.403442e-02
2.960933e+02 1.416760e-02
3.162278e+02 1.469362e-02
3.377314e+02 1.546100e-02
3.606973e+02 1.561174e-02
3.852248e+02 1.667333e-02
4.114203e+02 1.644198e-02
4.393971e+02 1.711532e-02
4.692762e+02 1.765538e-02
5.011872e+02 1.742423e-02
5.352682e+02 1.860902e-02
5.716667e+02 1.727445e-02
6.105402e+02 1.801396e-02
6.520572e+02 1.831449e-02
6.963974e+02 1.818952e-02
7.437527e+02 1.942638e-02
7.943282e+02 1.806722e-02
8.483429e+02 1.918331e-02
9.060306e+02 1.857841e-02
9.676411e+02 1.795455e-02
1.033441e+03 1.899254e-02
1.103716e+03 1.739177e-02
1.178769e+03 1.857429e-02
1.258925e+03 1.734126e-02
1.344533e+03 1.688162e-02
1.435962e+03 1.741488e-02
1.533608e+03 1.530313e-02
1.637894e+03 1.634390e-02
1.749271e+03 1.497353e-02
1.868222e+03 1.495360e-02
1.995262e+03 1.496449e-02
2.130941e+03 1.305371e-02
2.275846e+03 1.394139e-02
2.430604e+03 1.179213e-02
2.595887e+03 1.185401e-02
2.772408e+03 1.149954e-02
2.960933e+03 1.017108e-02
3.162278e+03 1.086269e-02
3.377314e+03 8.397729e-03
3.606973e+03 8.651487e-03
3.852248e+03 8.141733e-03
4.114203e+03 7.377629e-03
4.393971e+03 7.846404e-03
4.692762e+03 5.769112e-03
5.011872e+03 6.161444e-03
5.352682e+03 5.473258e-03
5.716667e+03 4.957555e-03
6.105402e+03 5.099839e-03
6.520572e+03 3.869556e-03
6.963974e+03 4.132689e-03
7.437527e+03 3.278072e-03
7.943282e+03 2.905538e-03
8.483429e+03 2.872701e-03
9.060306e+03 2.191124e-03
9.676411e+03 2.340122e-03
1.033441e+04 1.884226e-03
1.103716e+04 1.815794e-03
1.178769e+04 1.736638e-03
1.258925e+04 1.397052e-03
1.344533e+04 1.492053e-03
1.435962e+04 1.060375e-03
1.533608e+04 1.045818e-03
1.637894e+04 9.189708e-04
1.749271e+04 6.921701e-04
1.868222e+04 7.392381e-04
1.995262e+04 5.284008e-04
2.130941e+04 5.543855e-04
2.275846e+04 4.701676e-04
