# E_MeV_per_n    Probability
1.033441e+00 2.721884e-04
1.103716e+00 7.059824e-04
1.178769e+00 7.539844e-04
1.258925e+00 7.768294e-05
1.344533e+00 4.672695e-05
1.435962e+00 1.866159e-04
1.533608e+00 3.382428e-04
1.637894e+00 3.589029e-04
1.749271e+00 3.411577e-04
1.868222e+00 3.643566e-04
1.995262e+00 3.793526e-04
2.130941e+00 3.985383e-04
2.275846e+00 5.308907e-04
2.430604e+00 1.161388e-03
2.595887e+00 1.240373e-03
2.772408e+00 1.920438e-03
2.960933e+00 2.308788e-03
3.162278e+00 2.183489e-03
3.377314e+00 1.479802e-03
3.606973e+00 1.580432e-03
3.852248e+00 2.283734e-03
4.114203e+00 2.587952e-03
4.393971e+00 2.618602e-03
4.692762e+00 2.524208e-03
5.011872e+00 2.695869e-03
5.352682e+00 3.628244e-03
5.716667e+00 3.955683e-03
6.105402e+00 3.737506e-03
6.520572e+00 3.390438e-03
6.963974e+00 3.628239e-03
7.437527e+00 5.133020e-03
7.943282e+00 5.482071e-03
8.483429e+00 4.835506e-03
9.060306e+00 4.323419e-03
9.676411e+00 4.644326e-03
1.033441e+01 5.194032e-03
1.103716e+01 5.547302e-03
1.178769e+01 4.719075e-03
1.258925e+01 4.388029e-03
1.344533e+01 5.235042e-03
1.435962e+01 7.768445e-03
1.533608e+01 8.296608e-03
1.637894e+01 7.145198e-03
1.749271e+01 7.061282e-03
1.868222e+01 6.893576e-03
1.995262e+01 5.850600e-03
2.130941e+01 6.248459e-03
2.275846e+01 1.018864e-02
2.430604e+01 1.148681e-02
2.595887e+01 1.257666e-02
2.772408e+01 1.389592e-02
2.960933e+01 1.484093e-02
3.162278e+01 1.392859e-02
3.377314e+01 1.478756e-02
3.606973e+01 1.511151e-02
3.852248e+01 1.545590e-02
4.114203e+01 1.650822e-02
4.393971e+01 1.765363e-02
4.692762e+01 1.885399e-02
5.011872e+01 1.652658e-02
5.352682e+01 1.524546e-02
5.716667e+01 1.567293e-02
6.105402e+01 1.338742e-02
6.520572e+01 1.429780e-02
6.963974e+01 1.489016e-02
7.437527e+01 1.574105e-02
7.943282e+01 1.648684e-02
8.483429e+01 1.664572e-02
9.060306e+01 1.777762e-02
9.676411e+01 2.802709e-02
1.033441e+02 3.214255e-02
1.103716e+02 2.744593e-02
1.178769e+02 1.660468e-02
1.258925e+02 1.773374e-02
1.344533e+02 1.888152e-02
1.435962e+02 2.015970e-02
1.533608e+02 1.904005e-02
1.637894e+02 1.730438e-02
1.749271e+02 1.848521e-02
1.868222e+02 2.020439e-02
1.995262e+02 2.157827e-02
2.130941e+02 1.963418e-02
2.275846e+02 1.819449e-02
2.430604e+02 1.918946e-02
2.595887e+02 1.846440e-02
2.772408e+02 1.971986e-02
2.960933e+02 1.478612e-02
3.162278e+02 1.244996e-02
3.377314e+02 1.247492e-02
3.606973e+02 1.013045e-02
3.852248e+02 1.081931e-02
4.114203e+02 1.139032e-02
4.393971e+02 1.211126e-02
4.692762e+02 1.036295e-02
5.011872e+02 5.163645e-03
5.352682e+02 5.514754e-03
5.716667e+02 8.339843e-03
6.105402e+02 9.316967e-03
6.520572e+02 6.883967e-03
6.963974e+02 2.806343e-03
7.437527e+02 2.997171e-03
7.943282e+02 3.011936e-03
8.483429e+02 3.208816e-03
9.060306e+02 2.633891e-03
9.676411e+02 2.029073e-03
1.033441e+03 2.347517e-03
1.103716e+03 5.363052e-03
1.178769e+03 5.727703e-03
1.258925e+03 2.493196e-03
1.344533e+03 2.832618e-04
1.435962e+03 2.793479e-04
1.533608e+03 1.741029e-04
1.637894e+03 1.859438e-04
1.749271e+03 1.410454e-03
1.868222e+03 2.013320e-03
1.995262e+03 1.593640e-03
2.130941e+03 8.173229e-05
2.275846e+03 8.729027e-05
2.430604e+03 1.930046e-05
2.595887e+03 2.948093e-06
2.772408e+03 4.160243e-05
2.960933e+03 1.143662e-04
3.162278e+03 1.221428e-04
3.377314e+03 1.131639e-05
3.606973e+03 2.862195e-07
3.852248e+03 1.617403e-07
