# E_MeV_per_n    Probability
1.033441e+00 4.185386e-03
1.103716e+00 1.085575e-02
1.178769e+00 1.159386e-02
1.258925e+00 1.216780e-02
1.344533e+00 1.298454e-02
1.435962e+00 1.341754e-02
1.533608e+00 1.387233e-02
1.637894e+00 1.472313e-02
1.749271e+00 1.405785e-02
1.868222e+00 1.501379e-02
1.995262e+00 1.650580e-02
2.130941e+00 1.794671e-02
2.275846e+00 1.942672e-02
2.430604e+00 2.221361e-02
2.595887e+00 2.372435e-02
2.772408e+00 1.770152e-02
2.960933e+00 1.560158e-02
3.162278e+00 1.472965e-02
3.377314e+00 9.896657e-03
3.606973e+00 1.056966e-02
3.852248e+00 1.152456e-02
4.114203e+00 1.236724e-02
4.393971e+00 1.265870e-02
4.692762e+00 1.248924e-02
5.011872e+00 1.333858e-02
5.352682e+00 1.053853e-02
5.716667e+00 1.085576e-02
6.105402e+00 1.035777e-02
6.520572e+00 9.536511e-03
6.963974e+00 1.016211e-02
7.437527e+00 6.881432e-03
7.943282e+00 7.349377e-03
8.483429e+00 6.927890e-03
9.060306e+00 6.639010e-03
9.676411e+00 6.887939e-03
1.033441e+01 5.595761e-03
1.103716e+01 5.976355e-03
1.178769e+01 5.456798e-03
1.258925e+01 5.327074e-03
1.344533e+01 5.488698e-03
1.435962e+01 5.065763e-03
1.533608e+01 5.410175e-03
1.637894e+01 5.440064e-03
1.749271e+01 5.697694e-03
1.868222e+01 5.776295e-03
1.995262e+01 5.448435e-03
2.130941e+01 5.818945e-03
2.275846e+01 5.387448e-03
2.430604e+01 5.611294e-03
2.595887e+01 5.713051e-03
2.772408e+01 5.680634e-03
2.960933e+01 6.066954e-03
3.162278e+01 5.728411e-03
3.377314e+01 6.083477e-03
3.606973e+01 6.125094e-03
3.852248e+01 6.168683e-03
4.114203e+01 6.547431e-03
4.393971e+01 6.307186e-03
4.692762e+01 6.736043e-03
5.011872e+01 6.738582e-03
5.352682e+01 6.893274e-03
5.716667e+01 7.248281e-03
6.105402e+01 7.115446e-03
6.520572e+01 7.599315e-03
6.963974e+01 7.586487e-03
7.437527e+01 7.877040e-03
7.943282e+01 8.164846e-03
8.483429e+01 7.985405e-03
9.060306e+01 8.528409e-03
9.676411e+01 8.294055e-03
1.033441e+02 8.658957e-03
1.103716e+02 8.797556e-03
1.178769e+02 8.564291e-03
1.258925e+02 9.146632e-03
1.344533e+02 8.483041e-03
1.435962e+02 8.927084e-03
1.533608e+02 8.833869e-03
1.637894e+02 8.582592e-03
1.749271e+02 9.157909e-03
1.868222e+02 8.882233e-03
1.995262e+02 9.486213e-03
2.130941e+02 9.185365e-03
2.275846e+02 9.040577e-03
2.430604e+02 9.434621e-03
2.595887e+02 8.226225e-03
2.772408e+02 8.785556e-03
2.960933e+02 8.057692e-03
3.162278e+02 7.899802e-03
3.377314e+02 8.031963e-03
3.606973e+02 7.004279e-03
3.852248e+02 7.480569e-03
4.114203e+02 6.579906e-03
4.393971e+02 6.568158e-03
4.692762e+02 6.531333e-03
5.011872e+02 5.865711e-03
5.352682e+02 6.264558e-03
5.716667e+02 5.520416e-03
6.105402e+02 5.699966e-03
6.520572e+02 5.595829e-03
6.963974e+02 5.247405e-03
7.437527e+02 5.604222e-03
7.943282e+02 4.916919e-03
8.483429e+02 5.206429e-03
9.060306e+02 4.979999e-03
9.676411e+02 4.744910e-03
1.033441e+03 5.003182e-03
1.103716e+03 4.325182e-03
1.178769e+03 4.619264e-03
1.258925e+03 4.235578e-03
