# E_MeV_per_n    Probability
1.033441e+00 5.130607e-03
1.103716e+00 1.330739e-02
1.178769e+00 1.421220e-02
1.258925e+00 1.459063e-02
1.344533e+00 1.555353e-02
1.435962e+00 1.578631e-02
1.533608e+00 1.602111e-02
1.637894e+00 1.699432e-02
1.749271e+00 1.605663e-02
1.868222e+00 1.714849e-02
1.995262e+00 1.918033e-02
2.130941e+00 2.106993e-02
2.275846e+00 2.263724e-02
2.430604e+00 2.493606e-02
2.595887e+00 2.663195e-02
2.772408e+00 2.118452e-02
2.960933e+00 1.948485e-02
3.162278e+00 1.857441e-02
3.377314e+00 1.308943e-02
3.606973e+00 1.397954e-02
3.852248e+00 1.471073e-02
4.114203e+00 1.565619e-02
4.393971e+00 1.572474e-02
4.692762e+00 1.492666e-02
5.011872e+00 1.594176e-02
5.352682e+00 1.326821e-02
5.716667e+00 1.376563e-02
6.105402e+00 1.330518e-02
6.520572e+00 1.248648e-02
6.963974e+00 1.330798e-02
7.437527e+00 9.424144e-03
7.943282e+00 1.006500e-02
8.483429e+00 9.496135e-03
9.060306e+00 9.107986e-03
9.676411e+00 9.464114e-03
1.033441e+01 7.819515e-03
1.103716e+01 8.351357e-03
1.178769e+01 7.764170e-03
1.258925e+01 7.667427e-03
1.344533e+01 7.935491e-03
1.435962e+01 7.469791e-03
1.533608e+01 7.977649e-03
1.637894e+01 8.073906e-03
1.749271e+01 8.474671e-03
1.868222e+01 8.602021e-03
1.995262e+01 8.139420e-03
2.130941e+01 8.692926e-03
2.275846e+01 7.991859e-03
2.430604e+01 8.312706e-03
2.595887e+01 8.466210e-03
2.772408e+01 8.422523e-03
2.960933e+01 8.995309e-03
3.162278e+01 8.650151e-03
3.377314e+01 9.194451e-03
3.606973e+01 9.388730e-03
3.852248e+01 9.595225e-03
4.114203e+01 1.019598e-02
4.393971e+01 1.001888e-02
4.692762e+01 1.070012e-02
5.011872e+01 1.069783e-02
5.352682e+01 1.093890e-02
5.716667e+01 1.139461e-02
6.105402e+01 1.058434e-02
6.520572e+01 1.130410e-02
6.963974e+01 1.041071e-02
7.437527e+01 1.041148e-02
7.943282e+01 1.052795e-02
8.483429e+01 9.490468e-03
9.060306e+01 1.013581e-02
9.676411e+01 9.247833e-03
1.033441e+02 9.491103e-03
1.103716e+02 9.368147e-03
1.178769e+02 8.586289e-03
1.258925e+02 9.170125e-03
1.344533e+02 7.822160e-03
1.435962e+02 8.150343e-03
1.533608e+02 7.651680e-03
1.637894e+02 6.890851e-03
1.749271e+02 7.343683e-03
1.868222e+02 6.132455e-03
1.995262e+02 6.549454e-03
2.130941e+02 5.855445e-03
2.275846e+02 5.326856e-03
2.430604e+02 5.475575e-03
2.595887e+02 4.058122e-03
2.772408e+02 4.334049e-03
2.960933e+02 3.506870e-03
3.162278e+02 3.147861e-03
3.377314e+02 3.088409e-03
3.606973e+02 2.235606e-03
3.852248e+02 2.387626e-03
4.114203e+02 1.784491e-03
4.393971e+02 1.656418e-03
4.692762e+02 1.558487e-03
5.011872e+02 1.181100e-03
5.352682e+02 1.261410e-03
5.716667e+02 8.694236e-04
6.105402e+02 8.485875e-04
6.520572e+02 7.773546e-04
6.963974e+02 6.390824e-04
7.437527e+02 6.825392e-04
7.943282e+02 4.731156e-04
8.483429e+02 4.945494e-04
9.060306e+02 4.219700e-04
9.676411e+02 3.456874e-04
1.033441e+03 3.602978e-04
1.103716e+03 2.440649e-04
1.178769e+03 2.606596e-04
1.258925e+03 2.062920e-04
1.344533e+03 1.729853e-04
1.435962e+03 1.720894e-04
1.533608e+03 1.159279e-04
1.637894e+03 1.238122e-04
1.749271e+03 8.956034e-05
1.868222e+03 7.780042e-05
1.995262e+03 7.157536e-05
2.130941e+03 4.292000e-05
2.275846e+03 4.583865e-05
2.430604e+03 3.327646e-05
2.595887e+03 3.179297e-05
2.772408e+03 2.775746e-05
2.960933e+03 1.837449e-05
3.162278e+03 1.962392e-05
3.377314e+03 1.326210e-05
3.606973e+03 1.340167e-05
3.852248e+03 9.070067e-06
4.114203e+03 3.395022e-06
4.393971e+03 3.612486e-06
4.692762e+03 2.794951e-06
5.011872e+03 2.985023e-06
5.352682e+03 2.010885e-06
5.716667e+03 1.203620e-06
6.105402e+03 1.147571e-06
6.520572e+03 1.093548e-07
6.963974e+03 1.167910e-07
7.437527e+03 1.022162e-07
7.943282e+03 9.736106e-08
8.483429e+03 8.866201e-08
9.060306e+03 3.638723e-08
9.676411e+03 3.886160e-08
1.033441e+04 9.560491e-09
