# E_MeV_per_n    Probability
1.033441e+00 1.723359e-07
1.103716e+00 4.469923e-07
1.178769e+00 4.773847e-07
1.258925e+00 5.297840e-08
1.344533e+00 3.382553e-08
1.435962e+00 5.900929e-07
1.533608e+00 1.193208e-06
1.637894e+00 3.482521e-06
1.749271e+00 4.342967e-05
1.868222e+00 4.638292e-05
1.995262e+00 2.245398e-05
2.130941e+00 5.672228e-06
2.275846e+00 1.043200e-05
2.430604e+00 3.584353e-05
2.595887e+00 3.828124e-05
2.772408e+00 1.861689e-05
2.960933e+00 1.024880e-05
3.162278e+00 8.085223e-06
3.852248e+00 6.335014e-06
4.114203e+00 8.349217e-06
4.393971e+00 5.341409e-05
4.692762e+00 1.404549e-04
5.011872e+00 1.500066e-04
5.352682e+00 2.498194e-05
5.716667e+00 1.211087e-05
6.105402e+00 2.811531e-05
6.520572e+00 4.876288e-05
6.963974e+00 5.381356e-05
7.437527e+00 3.585305e-04
7.943282e+00 3.829109e-04
8.483429e+00 2.986879e-04
9.060306e+00 2.280400e-04
9.676411e+00 2.378166e-04
1.033441e+01 2.041753e-04
1.103716e+01 2.180622e-04
1.178769e+01 3.581393e-04
1.258925e+01 4.502312e-04
1.344533e+01 4.390835e-04
1.435962e+01 3.031956e-04
1.533608e+01 3.238093e-04
1.637894e+01 2.151052e-03
1.749271e+01 2.896799e-03
1.868222e+01 2.507483e-03
1.995262e+01 1.309941e-03
2.130941e+01 1.399021e-03
2.275846e+01 8.940416e-04
2.430604e+01 8.514771e-04
2.595887e+01 1.024746e-03
2.772408e+01 1.267904e-03
2.960933e+01 1.354130e-03
3.162278e+01 1.508054e-03
3.377314e+01 1.613437e-03
3.606973e+01 2.199554e-03
3.852248e+01 2.826600e-03
4.114203e+01 3.032874e-03
4.393971e+01 3.476038e-03
4.692762e+01 3.712392e-03
5.011872e+01 3.521866e-03
5.352682e+01 3.466199e-03
5.716667e+01 6.409317e-03
6.105402e+01 2.173720e-02
6.520572e+01 2.321538e-02
6.963974e+01 1.071685e-02
7.437527e+01 5.456347e-03
7.943282e+01 6.028553e-03
8.483429e+01 7.034815e-03
9.060306e+01 7.513179e-03
9.676411e+01 7.281790e-03
1.033441e+02 7.595462e-03
1.103716e+02 8.179146e-03
1.178769e+02 8.859114e-03
1.258925e+02 9.461501e-03
1.344533e+02 7.948768e-03
1.435962e+02 8.266477e-03
1.533608e+02 7.228731e-03
1.637894e+02 5.773466e-03
1.749271e+02 6.166837e-03
1.868222e+02 6.674363e-03
1.995262e+02 7.128210e-03
2.130941e+02 7.453068e-03
2.275846e+02 7.829848e-03
2.430604e+02 8.272335e-03
2.595887e+02 8.081280e-03
2.772408e+02 8.630756e-03
2.960933e+02 1.004763e-02
3.162278e+02 1.117281e-02
3.377314e+02 1.174876e-02
3.606973e+02 1.183352e-02
3.852248e+02 1.263820e-02
4.114203e+02 1.207351e-02
4.393971e+02 1.243056e-02
4.692762e+02 1.402949e-02
5.011872e+02 1.671387e-02
5.352682e+02 1.785035e-02
5.716667e+02 1.225130e-02
6.105402e+02 1.194421e-02
6.520572e+02 1.329241e-02
6.963974e+02 1.499080e-02
7.437527e+02 1.601015e-02
7.943282e+02 1.235757e-02
8.483429e+02 1.299889e-02
9.060306e+02 1.532024e-02
9.676411e+02 1.778280e-02
1.033441e+03 1.863540e-02
1.103716e+03 1.426142e-02
1.178769e+03 1.523110e-02
1.258925e+03 1.522353e-02
1.344533e+03 1.557377e-02
1.435962e+03 1.646285e-02
1.533608e+03 1.667032e-02
1.637894e+03 1.780408e-02
1.749271e+03 1.530663e-02
1.868222e+03 1.479633e-02
1.995262e+03 1.510340e-02
2.130941e+03 1.409543e-02
2.275846e+03 1.505395e-02
2.430604e+03 1.256878e-02
2.595887e+03 1.258514e-02
2.772408e+03 1.342777e-02
2.960933e+03 1.431713e-02
3.162278e+03 1.529066e-02
3.377314e+03 1.150230e-02
3.606973e+03 1.180627e-02
3.852248e+03 1.136562e-02
4.114203e+03 1.064623e-02
4.393971e+03 1.134199e-02
4.692762e+03 9.875256e-03
5.011872e+03 1.054683e-02
5.352682e+03 9.292616e-03
5.716667e+03 8.343555e-03
6.105402e+03 8.623494e-03
6.520572e+03 6.883323e-03
6.963974e+03 7.351394e-03
7.437527e+03 7.283730e-03
7.943282e+03 7.481449e-03
8.483429e+03 7.291296e-03
9.060306e+03 5.127231e-03
9.676411e+03 5.475887e-03
1.033441e+04 4.113924e-03
1.103716e+04 3.839365e-03
1.178769e+04 3.900171e-03
1.258925e+04 3.713058e-03
1.344533e+04 3.965550e-03
