# E_MeV_per_n    Probability
1.033441e+00 1.369724e-05
1.103716e+00 3.552690e-05
1.178769e+00 3.794248e-05
1.258925e+00 4.307986e-05
1.344533e+00 4.613672e-05
1.435962e+00 4.598592e-05
1.533608e+00 4.577017e-05
1.637894e+00 4.990862e-05
1.749271e+00 7.174588e-05
1.868222e+00 7.662464e-05
1.995262e+00 8.635007e-05
2.130941e+00 9.527445e-05
2.275846e+00 1.026493e-04
2.430604e+00 1.146888e-04
2.595887e+00 1.224887e-04
2.772408e+00 1.709690e-04
2.960933e+00 1.999681e-04
3.162278e+00 2.135203e-04
3.377314e+00 2.279030e-04
3.606973e+00 2.434010e-04
3.852248e+00 2.803994e-04
4.114203e+00 3.045768e-04
4.393971e+00 3.814422e-04
4.692762e+00 5.126357e-04
5.011872e+00 5.474978e-04
5.352682e+00 5.707799e-04
5.716667e+00 6.080919e-04
6.105402e+00 7.071912e-04
6.520572e+00 8.265541e-04
6.963974e+00 8.829651e-04
7.437527e+00 9.785388e-04
7.943282e+00 1.045080e-03
8.483429e+00 1.201627e-03
9.060306e+00 1.353853e-03
9.676411e+00 1.460705e-03
1.033441e+01 1.688579e-03
1.103716e+01 1.803427e-03
1.178769e+01 2.048412e-03
1.258925e+01 2.253877e-03
1.344533e+01 2.498986e-03
1.435962e+01 3.033453e-03
1.533608e+01 3.239692e-03
1.637894e+01 3.587033e-03
1.749271e+01 3.873108e-03
1.868222e+01 4.338806e-03
1.995262e+01 5.105933e-03
2.130941e+01 5.453153e-03
2.275846e+01 5.857262e-03
2.430604e+01 6.261247e-03
2.595887e+01 6.939955e-03
2.772408e+01 7.792119e-03
2.960933e+01 8.322033e-03
3.162278e+01 9.231207e-03
3.377314e+01 9.874663e-03
3.606973e+01 1.102324e-02
3.852248e+01 1.225097e-02
4.114203e+01 1.305262e-02
4.393971e+01 1.341171e-02
4.692762e+01 1.432364e-02
5.011872e+01 1.478115e-02
5.352682e+01 1.544205e-02
5.716667e+01 1.640163e-02
6.105402e+01 1.701900e-02
6.520572e+01 1.817634e-02
6.963974e+01 1.762155e-02
7.437527e+01 1.805789e-02
7.943282e+01 1.867322e-02
8.483429e+01 1.812703e-02
9.060306e+01 1.935966e-02
9.676411e+01 1.820493e-02
1.033441e+02 1.883871e-02
1.103716e+02 1.921873e-02
1.178769e+02 1.886148e-02
1.258925e+02 2.014399e-02
1.344533e+02 1.973918e-02
1.435962e+02 2.089823e-02
1.533608e+02 2.105158e-02
1.637894e+02 2.094081e-02
1.749271e+02 2.233486e-02
1.868222e+02 2.060855e-02
1.995262e+02 2.200991e-02
2.130941e+02 2.189739e-02
2.275846e+02 2.207752e-02
2.430604e+02 2.324589e-02
2.595887e+02 2.203699e-02
2.772408e+02 2.353537e-02
2.960933e+02 2.182107e-02
3.162278e+02 2.153957e-02
3.377314e+02 2.168602e-02
3.606973e+02 1.803820e-02
3.852248e+02 1.926479e-02
4.114203e+02 1.697462e-02
4.393971e+02 1.695591e-02
4.692762e+02 1.664311e-02
5.011872e+02 1.441013e-02
5.352682e+02 1.538997e-02
5.716667e+02 1.191728e-02
6.105402e+02 1.197133e-02
6.520572e+02 1.095962e-02
6.963974e+02 8.998431e-03
7.437527e+02 9.610311e-03
7.943282e+02 7.121080e-03
8.483429e+02 7.473403e-03
9.060306e+02 6.408838e-03
9.676411e+02 5.290128e-03
1.033441e+03 5.535697e-03
1.103716e+03 4.106292e-03
1.178769e+03 4.385492e-03
1.258925e+03 3.691635e-03
1.344533e+03 3.291293e-03
1.435962e+03 3.214115e-03
1.533608e+03 1.819172e-03
1.637894e+03 1.942895e-03
1.749271e+03 1.434458e-03
1.868222e+03 1.264046e-03
1.995262e+03 1.174139e-03
2.130941e+03 7.420322e-04
2.275846e+03 7.924920e-04
2.430604e+03 5.423659e-04
2.595887e+03 5.066064e-04
2.772408e+03 4.897891e-04
2.960933e+03 4.298672e-04
3.162278e+03 4.590972e-04
3.377314e+03 2.778776e-04
3.606973e+03 2.757327e-04
3.852248e+03 2.075662e-04
4.114203e+03 1.173760e-04
4.393971e+03 1.253538e-04
4.692762e+03 1.335296e-04
5.011872e+03 1.426103e-04
5.352682e+03 7.336303e-05
5.716667e+03 1.504057e-05
6.105402e+03 1.613065e-05
6.520572e+03 1.777278e-05
6.963974e+03 1.898134e-05
7.437527e+03 7.274681e-06
7.943282e+03 9.544587e-07
8.483429e+03 7.959892e-07
