# E_MeV_per_n    Probability
1.258925e+00 4.229856e-06
1.344533e+00 4.728170e-06
1.435962e+00 3.358606e-06
1.533608e+00 1.868256e-06
1.637894e+00 2.013787e-06
1.749271e+00 2.482888e-06
1.868222e+00 2.651726e-06
1.995262e+00 3.570749e-06
2.130941e+00 4.312957e-06
2.275846e+00 5.208185e-06
2.430604e+00 8.961722e-06
2.595887e+00 9.571207e-06
2.772408e+00 1.890140e-05
2.960933e+00 2.394204e-05
3.162278e+00 4.043102e-05
3.377314e+00 8.804168e-05
3.606973e+00 9.402873e-05
3.852248e+00 6.426652e-05
4.114203e+00 5.959929e-05
4.393971e+00 9.125859e-05
4.692762e+00 1.492111e-04
5.011872e+00 1.593583e-04
5.352682e+00 2.247559e-04
5.716667e+00 2.459187e-04
6.105402e+00 6.994169e-04
6.520572e+00 1.286029e-03
6.963974e+00 1.368082e-03
7.437527e+00 5.242857e-04
7.943282e+00 5.599377e-04
8.483429e+00 6.268086e-04
9.060306e+00 6.931851e-04
9.676411e+00 6.826549e-04
1.033441e+01 2.277942e-04
1.103716e+01 2.432875e-04
1.178769e+01 8.590359e-04
1.258925e+01 1.241520e-03
1.344533e+01 1.282142e-03
1.435962e+01 1.195503e-03
1.533608e+01 1.276783e-03
1.637894e+01 1.065127e-03
1.749271e+01 1.038425e-03
1.868222e+01 1.032696e-03
1.995262e+01 9.247851e-04
2.130941e+01 9.876734e-04
2.275846e+01 1.494873e-03
2.430604e+01 1.672298e-03
2.595887e+01 1.823621e-03
2.772408e+01 2.004143e-03
2.960933e+01 2.140438e-03
3.162278e+01 1.420798e-03
3.377314e+01 1.477717e-03
3.606973e+01 1.895539e-03
3.852248e+01 2.342486e-03
4.114203e+01 2.511377e-03
4.393971e+01 2.843927e-03
4.692762e+01 3.037300e-03
5.011872e+01 3.370912e-03
5.352682e+01 3.684774e-03
5.716667e+01 4.321101e-03
6.105402e+01 6.736746e-03
6.520572e+01 7.194861e-03
6.963974e+01 5.751814e-03
7.437527e+01 5.320816e-03
7.943282e+01 5.022484e-03
8.483429e+01 3.407178e-03
9.060306e+01 3.638865e-03
9.676411e+01 6.577105e-03
1.033441e+02 7.682015e-03
1.103716e+02 7.407265e-03
1.178769e+02 6.439003e-03
1.258925e+02 6.876832e-03
