# E_MeV_per_n    Probability
1.033441e+00 1.149018e-05
1.103716e+00 2.980239e-05
1.178769e+00 3.182875e-05
1.258925e+00 4.677018e-05
1.344533e+00 5.058700e-05
1.435962e+00 5.988737e-05
1.533608e+00 6.991436e-05
1.637894e+00 7.481733e-05
1.749271e+00 8.256735e-05
1.868222e+00 8.818198e-05
1.995262e+00 1.030175e-04
2.130941e+00 1.159986e-04
2.275846e+00 1.186996e-04
2.430604e+00 9.747600e-05
2.595887e+00 1.041053e-04
2.772408e+00 1.386690e-04
2.960933e+00 1.599911e-04
3.162278e+00 1.761209e-04
3.377314e+00 2.039476e-04
3.606973e+00 2.178166e-04
3.852248e+00 3.073983e-04
4.114203e+00 3.469896e-04
4.393971e+00 3.845394e-04
4.692762e+00 4.368400e-04
5.011872e+00 4.665476e-04
5.352682e+00 5.151251e-04
5.716667e+00 5.519710e-04
6.105402e+00 6.130525e-04
6.520572e+00 6.838041e-04
6.963974e+00 7.333422e-04
7.437527e+00 1.310587e-03
7.943282e+00 1.399708e-03
8.483429e+00 1.348321e-03
9.060306e+00 1.319096e-03
9.676411e+00 1.420383e-03
1.033441e+01 1.617680e-03
1.103716e+01 1.727706e-03
1.178769e+01 1.992440e-03
1.258925e+01 2.207564e-03
1.344533e+01 2.379105e-03
1.435962e+01 2.625945e-03
1.533608e+01 2.804478e-03
1.637894e+01 3.163467e-03
1.749271e+01 3.434441e-03
1.868222e+01 3.765830e-03
1.995262e+01 4.250209e-03
2.130941e+01 4.539237e-03
2.275846e+01 5.347787e-03
2.430604e+01 5.797486e-03
2.595887e+01 6.298291e-03
2.772408e+01 6.886720e-03
2.960933e+01 7.355061e-03
3.162278e+01 8.127546e-03
3.377314e+01 8.692700e-03
3.606973e+01 9.340226e-03
3.852248e+01 1.003189e-02
4.114203e+01 1.071460e-02
4.393971e+01 1.145284e-02
4.692762e+01 1.223158e-02
5.011872e+01 1.284363e-02
5.352682e+01 1.357053e-02
5.716667e+01 1.439405e-02
6.105402e+01 1.482655e-02
6.520572e+01 1.583479e-02
6.963974e+01 1.594961e-02
7.437527e+01 1.662489e-02
7.943282e+01 1.740107e-02
8.483429e+01 1.753404e-02
9.060306e+01 1.872634e-02
9.676411e+01 1.746579e-02
1.033441e+02 1.803398e-02
1.103716e+02 1.852352e-02
1.178769e+02 1.842227e-02
1.258925e+02 1.967492e-02
1.344533e+02 1.946191e-02
1.435962e+02 2.062521e-02
1.533608e+02 2.118992e-02
1.637894e+02 2.161179e-02
1.749271e+02 2.305665e-02
1.868222e+02 2.194271e-02
1.995262e+02 2.343478e-02
2.130941e+02 2.314170e-02
2.275846e+02 2.318078e-02
2.430604e+02 2.442530e-02
2.595887e+02 2.330613e-02
2.772408e+02 2.489080e-02
2.960933e+02 2.327168e-02
3.162278e+02 2.309041e-02
3.377314e+02 2.339163e-02
3.606973e+02 2.005143e-02
3.852248e+02 2.141493e-02
4.114203e+02 1.879151e-02
4.393971e+02 1.874013e-02
4.692762e+02 1.829247e-02
5.011872e+02 1.558355e-02
5.352682e+02 1.664318e-02
5.716667e+02 1.315284e-02
6.105402e+02 1.327369e-02
6.520572e+02 1.222579e-02
6.963974e+02 1.016576e-02
7.437527e+02 1.085701e-02
7.943282e+02 7.639156e-03
8.483429e+02 7.992571e-03
9.060306e+02 7.024072e-03
9.676411e+02 6.007260e-03
1.033441e+03 6.264513e-03
1.103716e+03 4.298018e-03
1.178769e+03 4.590253e-03
1.258925e+03 3.816542e-03
1.344533e+03 3.363120e-03
1.435962e+03 3.338218e-03
1.533608e+03 2.205730e-03
1.637894e+03 2.355742e-03
1.749271e+03 2.003108e-03
1.868222e+03 1.924799e-03
1.995262e+03 1.727108e-03
2.130941e+03 8.880366e-04
2.275846e+03 9.484251e-04
2.430604e+03 6.808147e-04
2.595887e+03 6.477593e-04
2.772408e+03 5.718100e-04
2.960933e+03 3.924710e-04
3.162278e+03 4.191582e-04
3.377314e+03 2.405592e-04
3.606973e+03 2.364050e-04
3.852248e+03 2.025361e-04
4.114203e+03 1.563722e-04
4.393971e+03 1.655310e-04
4.692762e+03 5.986989e-05
5.011872e+03 6.394138e-05
5.352682e+03 4.136376e-05
5.716667e+03 2.258310e-05
6.105402e+03 2.318260e-05
6.520572e+03 1.718119e-05
6.963974e+03 1.834952e-05
7.437527e+03 6.966400e-06
7.943282e+03 8.173864e-07
8.483429e+03 7.689057e-07
9.060306e+03 4.251440e-07
9.676411e+03 4.540542e-07
1.033441e+04 1.117036e-07
